    0.0001  0.0001  0.0001
    0.0002  0.0011  0.0003
    0.0005  0.0031  0.0011
    0.0018  0.0057  0.0026
    0.0038  0.0084  0.0057
    0.0060  0.0113  0.0093
    0.0087  0.0139  0.0121
    0.0110  0.0165  0.0142
    0.0123  0.0198  0.0162
    0.0133  0.0215  0.0183
    0.0149  0.0232  0.0209
    0.0169  0.0260  0.0233
    0.0186  0.0280  0.0251
    0.0192  0.0299  0.0269
    0.0197  0.0319  0.0283
    0.0208  0.0331  0.0297
    0.0222  0.0334  0.0308
    0.0229  0.0331  0.0308
    0.0233  0.0327  0.0316
    0.0242  0.0326  0.0323
    0.0243  0.0325  0.0321
    0.0251  0.0316  0.0316
    0.0263  0.0314  0.0303
    0.0257  0.0312  0.0301
    0.0241  0.0300  0.0299
    0.0232  0.0284  0.0281
    0.0238  0.0269  0.0276
    0.0239  0.0264  0.0278
    0.0218  0.0252  0.0260
    0.0206  0.0234  0.0239
    0.0217  0.0224  0.0230
    0.0228  0.0206  0.0229
    0.0230  0.0186  0.0220
    0.0214  0.0175  0.0201
    0.0191  0.0167  0.0189
    0.0186  0.0162  0.0188
    0.0188  0.0150  0.0181
    0.0173  0.0135  0.0170
    0.0160  0.0127  0.0156
    0.0162  0.0118  0.0146
    0.0161  0.0109  0.0138
    0.0149  0.0096  0.0126
    0.0139  0.0084  0.0111
    0.0135  0.0082  0.0098
    0.0129  0.0082  0.0091
    0.0125  0.0078  0.0085
    0.0122  0.0068  0.0076
    0.0113  0.0062  0.0070
    0.0108  0.0060  0.0063
    0.0107  0.0052  0.0057
    0.0097  0.0047  0.0057
    0.0089  0.0046  0.0058
    0.0085  0.0040  0.0054
    0.0077  0.0036  0.0049
    0.0070  0.0035  0.0043
    0.0071  0.0033  0.0038
    0.0068  0.0032  0.0038
    0.0058  0.0030  0.0034
    0.0056  0.0027  0.0029
    0.0059  0.0025  0.0025
    0.0059  0.0024  0.0021
    0.0058  0.0023  0.0021
    0.0056  0.0020  0.0022
    0.0052  0.0016  0.0024
    0.0044  0.0012  0.0022
    0.0040  0.0011  0.0016
    0.0041  0.0012  0.0013
    0.0036  0.0013  0.0014
    0.0028  0.0013  0.0011
    0.0025  0.0011  0.0008
    0.0027  0.0010  0.0008
    0.0028  0.0008  0.0009
    0.0026  0.0006  0.0007
    0.0023  0.0004  0.0006
    0.0025  0.0005  0.0007
    0.0026  0.0007  0.0007
    0.0021  0.0008  0.0006
    0.0016  0.0006  0.0005
    0.0017  0.0004  0.0004
    0.0017  0.0004  0.0004
    0.0017  0.0005  0.0005
    0.0019  0.0005  0.0003
    0.0018  0.0004  0.0002
    0.0016  0.0004  0.0002
    0.0016  0.0004  0.0002
    0.0017  0.0004  0.0003
    0.0014  0.0004  0.0003
    0.0010  0.0004  0.0002
    0.0011  0.0005  0.0001
    0.0010  0.0004  0.0001
    0.0007  0.0003  0.0001
    0.0007  0.0002  0.0002
    0.0009  0.0002  0.0002
    0.0009  0.0002  0.0001
    0.0007  0.0001  0.0001
    0.0005  0.0001  0.0001
    0.0007  0.0001  0.0001
    0.0009  0.0002  0.0001
    0.0008  0.0002  0.0001
    0.0007  0.0001  0.0001
    0.0149  0.0026  0.0010
