     1536.0     24.0     16.0      4.0
     -4.000    6.000   19.000   38.000    8.000   18.000
     1509.0   1530.0   1531.0   1524.0
     1502.0   1499.0   1516.0   1525.0
     1496.0   1507.0   1495.0   1523.0
     1529.0   1478.0   1517.0   1526.0
     1466.0   1491.0   1508.0   1532.0
     1482.0   1487.0   1521.0   1497.0
     1476.0   1519.0   1505.0   1511.0
     1514.0   1455.0   1520.0   1510.0
     1481.0   1479.0   1503.0   1527.0
     1485.0   1480.0   1483.0   1534.0
     1471.0   1501.0   1512.0   1533.0
     1488.0   1459.0   1492.0   1535.0
     1498.0   1494.0   1506.0   1528.0
     1477.0   1493.0   1513.0   1518.0
     1486.0   1504.0   1515.0   1536.0
     1475.0   1500.0   1489.0   1522.0
     1337.0   1473.0   1467.0   1463.0
     1358.0   1408.0   1326.0   1457.0
     1382.0   1446.0   1347.0   1414.0
     1413.0   1384.0   1394.0   1412.0
     1448.0   1263.0   1469.0   1401.0
     1430.0   1302.0   1344.0   1445.0
     1404.0   1436.0   1299.0   1393.0
     1449.0   1428.0   1431.0   1399.0
     1371.0   1381.0   1438.0   1454.0
     1332.0   1392.0   1295.0   1460.0
     1410.0   1415.0   1354.0   1470.0
     1458.0   1427.0   1435.0   1447.0
     1353.0   1340.0   1434.0   1444.0
     1443.0   1465.0   1451.0   1468.0
     1490.0   1403.0   1474.0   1472.0
     1461.0   1385.0   1462.0   1484.0
     1240.0   1407.0   1373.0   1361.0
     1222.0   1288.0   1221.0   1426.0
     1359.0   1220.0   1327.0   1406.0
     1179.0   1178.0   1349.0   1420.0
      901.0   1423.0   1409.0   1251.0
     1369.0   1307.0   1402.0    858.0
     1309.0   1305.0   1204.0   1346.0
     1152.0   1335.0   1433.0   1450.0
     1159.0    996.0   1398.0   1440.0
     1278.0   1303.0   1215.0   1405.0
     1380.0   1419.0   1228.0   1452.0
     1082.0   1301.0   1418.0   1395.0
     1275.0   1355.0   1368.0   1424.0
     1274.0   1249.0   1322.0   1388.0
     1429.0   1387.0   1464.0   1432.0
     1456.0   1422.0   1364.0   1439.0
      983.0    308.0   1157.0    678.0
     1170.0    982.0   1296.0   1289.0
     1169.0   1167.0   1166.0   1165.0
     1242.0   1214.0   1241.0   1213.0
