    0.0001  0.0001
    0.0002  0.0002
    0.0002  0.0002
    0.0002  0.0002
    0.0002  0.0002
    0.0002  0.0002
    0.0007  0.0007
    0.0021  0.0021
    0.0052  0.0052
    0.0125  0.0125
    0.0252  0.0252
    0.0429  0.0429
    0.0643  0.0643
    0.0824  0.0824
    0.0906  0.0906
    0.0914  0.0914
    0.0899  0.0899
    0.0834  0.0834
    0.0726  0.0726
    0.0617  0.0617
    0.0503  0.0503
    0.0415  0.0415
    0.0343  0.0343
    0.0271  0.0271
    0.0203  0.0203
    0.0147  0.0147
    0.0115  0.0115
    0.0087  0.0087
    0.0064  0.0064
    0.0051  0.0051
    0.0045  0.0045
    0.0051  0.0051
    0.0049  0.0049
    0.0038  0.0038
    0.0030  0.0030
    0.0025  0.0025
    0.0020  0.0020
    0.0013  0.0013
    0.0009  0.0009
    0.0010  0.0010
    0.0013  0.0013
    0.0014  0.0014
    0.0012  0.0012
    0.0012  0.0012
    0.0010  0.0010
    0.0005  0.0005
    0.0005  0.0005
    0.0006  0.0006
    0.0004  0.0004
    0.0004  0.0004
    0.0005  0.0005
    0.0011  0.0011
    0.0016  0.0016
    0.0011  0.0011
    0.0007  0.0007
    0.0004  0.0004
    0.0002  0.0002
    0.0001  0.0001
    0.0002  0.0002
    0.0001  0.0001
    0.0001  0.0001
    0.0001  0.0001
    0.0003  0.0003
    0.0004  0.0004
    0.0003  0.0003
    0.0002  0.0002
    0.0003  0.0003
    0.0007  0.0007
    0.0011  0.0011
    0.0006  0.0006
    0.0005  0.0005
    0.0008  0.0008
    0.0005  0.0005
    0.0002  0.0002
    0.0002  0.0002
    0.0003  0.0003
    0.0002  0.0002
    0.0002  0.0002
    0.0002  0.0002
    0.0001  0.0001
    0.0001  0.0001
    0.0001  0.0001
    0.0002  0.0002
    0.0003  0.0003
    0.0002  0.0002
    0.0001  0.0001
    0.0002  0.0002
    0.0002  0.0002
    0.0001  0.0001
    0.0001  0.0001
    0.0002  0.0002
    0.0002  0.0002
    0.0002  0.0002
    0.0002  0.0002
    0.0002  0.0002
    0.0002  0.0002
    0.0002  0.0002
    0.0002  0.0002
    0.0001  0.0001
    0.0000  0.0000
    0.0002  0.0002
