    0.0013  0.0006  0.0013
    0.0146  0.0104  0.0209
    0.0353  0.0271  0.0489
    0.0630  0.0526  0.0781
    0.0887  0.0795  0.1010
    0.1011  0.0967  0.1125
    0.0968  0.0962  0.1056
    0.0823  0.0835  0.0866
    0.0671  0.0708  0.0702
    0.0542  0.0606  0.0573
    0.0448  0.0504  0.0464
    0.0378  0.0409  0.0383
    0.0322  0.0340  0.0312
    0.0277  0.0288  0.0252
    0.0234  0.0245  0.0206
    0.0212  0.0220  0.0179
    0.0190  0.0199  0.0160
    0.0160  0.0172  0.0137
    0.0145  0.0153  0.0117
    0.0134  0.0143  0.0103
    0.0120  0.0132  0.0090
    0.0113  0.0118  0.0080
    0.0101  0.0102  0.0072
    0.0085  0.0093  0.0060
    0.0077  0.0091  0.0050
    0.0070  0.0079  0.0047
    0.0064  0.0070  0.0045
    0.0059  0.0065  0.0039
    0.0055  0.0055  0.0032
    0.0051  0.0047  0.0028
    0.0046  0.0046  0.0026
    0.0043  0.0045  0.0024
    0.0041  0.0042  0.0020
    0.0040  0.0039  0.0016
    0.0035  0.0036  0.0014
    0.0030  0.0033  0.0014
    0.0029  0.0031  0.0014
    0.0029  0.0028  0.0013
    0.0025  0.0024  0.0011
    0.0022  0.0024  0.0009
    0.0021  0.0024  0.0009
    0.0019  0.0020  0.0008
    0.0018  0.0020  0.0007
    0.0015  0.0020  0.0007
    0.0013  0.0015  0.0007
    0.0014  0.0013  0.0006
    0.0013  0.0014  0.0004
    0.0011  0.0014  0.0003
    0.0012  0.0012  0.0004
    0.0010  0.0010  0.0004
    0.0008  0.0010  0.0004
    0.0009  0.0010  0.0004
    0.0010  0.0009  0.0004
    0.0008  0.0007  0.0003
    0.0006  0.0008  0.0003
    0.0007  0.0009  0.0002
    0.0006  0.0007  0.0002
    0.0005  0.0005  0.0002
    0.0005  0.0007  0.0002
    0.0004  0.0007  0.0002
    0.0004  0.0005  0.0002
    0.0003  0.0004  0.0001
    0.0003  0.0004  0.0001
    0.0004  0.0004  0.0001
    0.0004  0.0004  0.0001
    0.0003  0.0004  0.0002
    0.0003  0.0002  0.0002
    0.0004  0.0002  0.0001
    0.0003  0.0003  0.0001
    0.0003  0.0002  0.0001
    0.0003  0.0002  0.0001
    0.0004  0.0002  0.0001
    0.0003  0.0002  0.0001
    0.0001  0.0002  0.0000
    0.0002  0.0002  0.0000
    0.0002  0.0002  0.0000
    0.0002  0.0002  0.0000
    0.0001  0.0002  0.0000
    0.0001  0.0002  0.0001
    0.0001  0.0002  0.0001
    0.0001  0.0001  0.0001
    0.0001  0.0000  0.0000
    0.0001  0.0001  0.0000
    0.0001  0.0001  0.0000
    0.0001  0.0002  0.0001
    0.0001  0.0001  0.0001
    0.0001  0.0001  0.0001
    0.0001  0.0000  0.0000
    0.0001  0.0000  0.0000
    0.0001  0.0001  0.0000
    0.0001  0.0001  0.0000
    0.0001  0.0001  0.0000
    0.0001  0.0001  0.0001
    0.0001  0.0001  0.0001
    0.0001  0.0001  0.0001
    0.0001  0.0001  0.0000
    0.0001  0.0001  0.0000
    0.0001  0.0001  0.0000
    0.0001  0.0001  0.0000
    0.0001  0.0001  0.0000
    0.0012  0.0016  0.0003
