  28 477 482 486 491 495 500 503 519 529
 530 531 532 533 534 535 536 537 540 543
 545 548 551 554 557 608 622 635 640
  DIST. EN ENERGIE 2 FILS                               
   3234     26     34    193   1106   5587  16266  26910  32197  30980
  26385  20999  16026  12227   9496   7385   5727   4629   3629   3032
   2507   2032   1731   1455   1223   1119    909    837    779    680
    604    554    477    464    440    384    330    341    310    278
    265    247    198    215    220    190    178    149    155    163
    149    116    121    119    135    122    129    105     92     79
     82     78     70     82     75     64     69     72     60     51
     47     47     47     44     37     37     40     45     36     27
     40     32     40     27     30     20     26     33     15     20
     18     21     13     18     12      9     10     12     12    146
     23      1      2      4     13     63    153    367    705    973
   1191   1452   1527   1589   1783   1997   2170   2437   2531   2649
   2812   2960   2932   3028   3064   2956   2974   3039   2871   2874
   2698   2604   2439   2355   2239   2092   1991   1807   1768   1608
   1482   1389   1187   1043   1054    885    903    793    695    690
    636    584    517    491    412    370    325    326    297    249
    252    246    205    185    164    137    157    127    148    110
    116     86    100     93     96     76     68     83     60     52
     48     46     45     35     33     30     32     27     43     32
     17     22     23     24     23     22     21     13     17    214
  11702     18     17     40    446   4224  16097  30170  34748  31292
  24984  18888  14318  10549   8235   6197   5034   4047   3278   2715
   2201   1894   1559   1282   1122   1052    969    746    713    632
    575    556    494    455    416    369    345    317    304    261
    264    252    234    211    214    202    177    151    162    143
    163    158    130    129    119    113    101     98     88     95
    101     71     76     80     72     76     75     62     60     57
     71     46     42     36     34     48     42     40     43     39
     36     36     24     33     25     35     22     29     25     19
     24     16     18     19     17     14     12     18     15    260
    144      0      1      2      7     54    230    636   1094   1492
   1788   1887   2223   2301   2609   2879   3024   3221   3371   3420
   3327   3418   3495   3367   3345   3235   3053   2989   2720   2612
   2379   2243   1998   1886   1720   1629   1429   1288   1198    971
    921    839    779    707    688    608    559    494    479    432
    360    348    316    310    295    275    202    217    187    193
    134    144    152    121    124    107    103    113     90     77
     69     85     70     50     55     48     58     53     39     46
     48     40     28     28     36     24     22     43     19     34
     24     24     20     23     28     18     19     15     17    255
  10229    125    350    148    658   4498  17144  31351  35829  31096
  24362  18331  13478  10096   7794   6024   4935   3976   3193   2642
   2192   1857   1591   1363   1244   1098    958    828    718    662
    624    523    490    483    422    387    359    310    342    320
    268    233    268    215    216    213    175    168    164    167
    156    132    149    118    128    107    110     92     85    112
     85     93     63     63     73     68     64     63     70     45
     60     62     54     55     48     50     59     32     46     46
     51     28     29     40     43     37     42     30     24     19
     21     21     21     19     25     17     14     17     19    311
    128      6     20     14     13     52    253    690   1252   1701
   1914   2134   2271   2509   2765   2892   3105   3175   3368   3401
   3418   3447   3447   3214   3077   3028   2912   2803   2592   2561
   2202   2173   1907   1798   1646   1583   1420   1272   1182   1052
    982    867    805    708    690    558    529    472    492    424
    391    360    303    282    259    248    245    212    190    165
    167    160    120    145    121    111    115    105    101     87
     94     66     89     73     94     74     56     57     54     44
     42     31     42     43     42     21     35     26     33     27
     26     32     32     20     26     24     26     11     18    328
   173.407   172.713   173.018     0.000     0.000     0.000
   436.073   387.727   387.592     0.000     0.000     0.000
     0.069     0.081     0.088     0.000     0.000     0.000
     0.500     0.472     0.524     0.000     0.000     0.000
