  51705 -.2655 .0012   0.0794 .0012     5.60  0.00    -2.90  0.00   1227  251.54
  51883 -.2656 .0010   0.2397 .0010     5.60  0.00    -2.90  0.00   1593  254.94
  51976 -.2607 .0012   0.2440 .0011     5.60  0.00    -2.90  0.00   1435  256.17
  51978 -.2637 .0010   0.2409 .0010     5.60  0.00    -2.90  0.00   1576  256.45
  52010 -.2591 .0014   0.2414 .0013     5.60  0.00    -2.90  0.00   1010  257.25
  52020 -.2636 .0012   0.2395 .0012     5.60  0.00    -2.90  0.00   1194  257.47
  52256 -.2565 .0009   0.2027 .0009     5.60  0.00    -2.90  0.00   1786  259.66
  52551 -.2624 .0010   0.2034 .0010     5.60  0.00    -2.90  0.00   1449  263.28
  52591 -.2599 .0011   0.2013 .0010     5.60  0.00    -2.90  0.00   1459  264.08
  52593 -.2607 .0013   0.2028 .0013     5.60  0.00    -2.90  0.00    969  264.15
  52600 -.2589 .0013   0.2041 .0013     5.60  0.00    -2.90  0.00    967  264.88
  52614 -.2598 .0014   0.2067 .0014     5.60  0.00    -2.90  0.00    840  265.26
  52622 -.2589 .0013   0.2054 .0014     5.60  0.00    -2.90  0.00    809  265.45
  52704 -.2565 .0011   0.2024 .0011     5.60  0.00    -2.90  0.00   1389  266.68
  52739 -.2597 .0011   0.2030 .0010     5.60  0.00    -2.90  0.00   1424  267.11
  52741 -.2598 .0013   0.2019 .0013     5.60  0.00    -2.90  0.00    848  267.18
  52795 -.2625 .0011   0.2059 .0010     5.60  0.00    -2.90  0.00   1378  268.26
  52816 -.2557 .0010   0.2045 .0010     5.60  0.00    -2.90  0.00   1514  268.84
  52817 -.2612 .0010   0.2035 .0010     5.60  0.00    -2.90  0.00   1587  269.02
  54132 -.2485 .0015   0.1749 .0014     5.60  0.00    -2.90  0.00    756  282.70
  54133 -.2551 .0011   0.1799 .0011     5.60  0.00    -2.90  0.00   1367  282.85
  54134 -.2564 .0012   0.1807 .0012     5.60  0.00    -2.90  0.00   1060  282.99
  54187 -.2540 .0011   0.1792 .0010     5.60  0.00    -2.90  0.00   1516  284.11
  54508 -.2570 .0011   0.1777 .0010     5.60  0.00    -2.90  0.00   1404  287.34
  54572 -.2566 .0010   0.1826 .0010     5.60  0.00    -2.90  0.00   1432  288.37
  54583 -.2568 .0011   0.1837 .0010     5.60  0.00    -2.90  0.00   1401  288.61
  54604 -.2526 .0010   0.1857 .0010     5.60  0.00    -2.90  0.00   1438  288.82
  54620 -.2589 .0011   0.2745 .0011     5.60  0.00    -2.90  0.00   1314  289.16
  54652 -.2565 .0011   0.1859 .0011     5.60  0.00    -2.90  0.00   1286  289.54
  54697 -.2484 .0012   0.1852 .0012     5.60  0.00    -2.90  0.00   1108  290.73
  54700 -.2539 .0012   0.1848 .0012     5.60  0.00    -2.90  0.00   1129  290.85
  54702 -.2545 .0012   0.1770 .0011     5.60  0.00    -2.90  0.00   1203  290.97
  54703 -.2560 .0012   0.1873 .0011     5.60  0.00    -2.90  0.00   1183  291.14
  54736 -.2565 .0011   0.1808 .0011     5.60  0.00    -2.90  0.00   1319  292.16
  54784 -.2579 .0011   0.1827 .0011     5.60  0.00    -2.90  0.00   1192  293.23
  54787 -.2606 .0011   0.1829 .0011     5.60  0.00    -2.90  0.00   1391  293.29
  54875 -.2506 .0011   0.1960 .0011     5.60  0.00    -2.90  0.00   1265  295.54
  54967 -.2565 .0013   0.1960 .0013     5.60  0.00    -2.90  0.00   1062  297.79
  54978 -.2574 .0012   0.1979 .0012     5.60  0.00    -2.90  0.00   1222  298.00
  55000 -.2543 .0016   0.1966 .0016     5.60  0.00    -2.90  0.00    595  299.03
  55001 -.2558 .0012   0.1992 .0011     5.60  0.00    -2.90  0.00   1274  299.33
  55002 -.2570 .0011   0.1969 .0011     5.60  0.00    -2.90  0.00   1292  299.43
  55082 -.2529 .0011   0.1945 .0012     5.60  0.00    -2.90  0.00   1195  300.25
  55083 -.2515 .0011   0.1959 .0011     5.60  0.00    -2.90  0.00   1344  300.39
  55113 -.2549 .0011   0.1963 .0011     5.60  0.00    -2.90  0.00   1336  300.78
  55190 -.2547 .0011   0.1991 .0012     5.60  0.00    -2.90  0.00   1297  301.65
  55193 -.2558 .0012   0.2000 .0011     5.60  0.00    -2.90  0.00   1240  301.74
  55195 -.2562 .0011   0.1987 .0011     5.60  0.00    -2.90  0.00   1163  301.88
  55284 -.2538 .0011   0.1940 .0011     5.60  0.00    -2.90  0.00   1465  303.14
  55333 -.2538 .0011   0.1921 .0011     5.60  0.00    -2.90  0.00   1357  304.16
  55351 -.2468 .0011   0.1937 .0012     5.60  0.00    -2.90  0.00   1221  305.01
  55364 -.2504 .0013   0.1914 .0012     5.60  0.00    -2.90  0.00   1027  305.70
  55642 -.2399 .0011   0.1870 .0011     5.60  0.00    -2.90  0.00   1392  308.90
  55644 -.2433 .0012   0.1886 .0012     5.60  0.00    -2.90  0.00   1292  309.42
  55653 -.2427 .0011   0.1884 .0011     5.60  0.00    -2.90  0.00   1334  309.54
  55657 -.2450 .0012   0.1910 .0012     5.60  0.00    -2.90  0.00   1233  309.72
  55673 -.2414 .0011   0.1871 .0011     5.60  0.00    -2.90  0.00   1339  310.57
  55678 -.2391 .0011   0.1830 .0011     5.60  0.00    -2.90  0.00   1264  310.74
  55719 -.2455 .0010   0.1834 .0010     5.60  0.00    -2.90  0.00   1670  311.18
  55754 -.2431 .0010   0.1887 .0010     5.60  0.00    -2.90  0.00   1673  312.10
  55761 -.2472 .0010   0.1861 .0010     5.60  0.00    -2.90  0.00   1671  312.61
  55766 -.2447 .0009   0.1890 .0009     5.60  0.00    -2.90  0.00   1884  312.99
  55780 -.2446 .0010   0.1896 .0010     5.60  0.00    -2.90  0.00   1624  313.18
  55824 -.2418 .0010   0.1960 .0010     5.60  0.00    -2.90  0.00   1648  313.75
  55827 -.2415 .0010   0.1974 .0010     5.60  0.00    -2.90  0.00   1622  313.84
  55828 -.2419 .0010   0.1967 .0010     5.60  0.00    -2.90  0.00   1695  313.97
  55853 -.2392 .0011   0.2006 .0010     5.60  0.00    -2.90  0.00   1505  314.37
  55881 -.2362 .0011   0.1978 .0011     5.60  0.00    -2.90  0.00   1518  314.97
  55887 -.2350 .0010   0.1942 .0010     5.60  0.00    -2.90  0.00   1644  315.12
  55903 -.2393 .0012   0.1944 .0011     5.60  0.00    -2.90  0.00   1367  316.01
  55904 -.2391 .0011   0.1967 .0011     5.60  0.00    -2.90  0.00   1500  316.13
  55908 -.2402 .0010   0.1978 .0010     5.60  0.00    -2.90  0.00   1557  316.46
  55936 -.2400 .0010   0.1952 .0010     5.60  0.00    -2.90  0.00   1687  316.91
  56008 -.2395 .0011   0.1893 .0011     5.60  0.00    -2.90  0.00   1466  318.04
  56062 -.2388 .0010   0.1805 .0010     5.60  0.00    -2.90  0.00   1761  319.19
  56119 -.2382 .0010   0.1842 .0010     5.60  0.00    -2.90  0.00   1640  319.91
  56127 -.2354 .0010   0.1865 .0009     5.60  0.00    -2.90  0.00   1713  320.18
  56230 -.2377 .0010   0.1901 .0010     5.60  0.00    -2.90  0.00   1534  322.47
