    LAYER  SECTOR    WIRE      GAIN
        0      24       0    0.002026
        0      24       1    0.005085
        0      24       2    0.004658
        0      24       3    0.003896
        0      24       4    0.004887
        0      24       5    0.004480
        0      24       6    0.003030
        0      24       7    0.002946
        0      24       8    0.003294
        0      24       9    0.003299
        0      24      10    0.003056
        0      25       0    0.002159
        0      25       1    0.005395
        0      25       2    0.004961
        0      25       3    0.005288
        0      25       4    0.004701
        0      25       5    0.004596
        0      25       6    0.002741
        0      25       7    0.003811
        0      25       8    0.003148
        0      25       9    0.002905
        0      25      10    0.003022
        0      26       0    0.001860
        0      26       1    0.004484
        0      26       2    0.004952
        0      26       3    0.004775
        0      26       4    0.005371
        0      26       5    0.005134
        0      26       6    0.002759
        0      26       7    0.002925
        0      26       8    0.002961
        0      26       9    0.003411
        0      26      10    0.003009
        0      27       0    0.002422
        0      27       1    0.004419
        0      27       2    0.004875
        0      27       3    0.003736
        0      27       4    0.004936
        0      27       5    0.005334
        0      27       6    0.002468
        0      27       7    0.003278
        0      27       8    0.003247
        0      27       9    0.002637
        0      27      10    0.002760
        0      28       0    0.004115
        0      28       1    0.004993
        0      28       2    0.004594
        0      28       3    0.005006
        0      28       4    0.005129
        0      28       5    0.005495
        0      28       6    0.002681
        0      28       7    0.005165
        0      28       8    0.003938
        0      28       9    0.003659
        0      28      10    0.003385
        0      29       0    0.002271
        0      29       1    0.004667
        0      29       2    0.004358
        0      29       3    0.004108
        0      29       4    0.004172
        0      29       5    0.004364
        0      29       6    0.002584
        0      29       7    0.003211
        0      29       8    0.003481
        0      29       9    0.003003
        0      29      10    0.003181
        0      30       0    0.002014
        0      30       1    0.005148
        0      30       2    0.004278
        0      30       3    0.004389
        0      30       4    0.004462
        0      30       5    0.004730
        0      30       6    0.002799
        0      30       7    0.003142
        0      30       8    0.002811
        0      30       9    0.003445
        0      30      10    0.002847
        0      31       0    0.002268
        0      31       1    0.004845
        0      31       2    0.003968
        0      31       3    0.004462
        0      31       4    0.004727
        0      31       5    0.004891
        0      31       6    0.002702
        0      31       7    0.003344
        0      31       8    0.003174
        0      31       9    0.003436
        0      31      10    0.003433
        1       0       0    0.002351
        1       0       1    0.004767
        1       0       2    0.005312
        1       0       3    0.003558
        1       0       4    0.004711
        1       0       5    0.004833
        1       0       6    0.002649
        1       0       7    0.003185
        1       0       8    0.002965
        1       0       9    0.002955
        1       0      10    0.003119
        1       1       0    0.002489
        1       1       1    0.004707
        1       1       2    0.004505
        1       1       3    0.005294
        1       1       4    0.004708
        1       1       5    0.005435
        1       1       6    0.002903
        1       1       7    0.003062
        1       1       8    0.002895
        1       1       9    0.003627
        1       1      10    0.003486
        1       2       0    0.002558
        1       2       1    0.004743
        1       2       2    0.004956
        1       2       3    0.004232
        1       2       4    0.004126
        1       2       5    0.004577
        1       2       6    0.002667
        1       2       7    0.002791
        1       2       8    0.002786
        1       2       9    0.003237
        1       2      10    0.003091
        1       3       0    0.002228
        1       3       1    0.005440
        1       3       2    0.004321
        1       3       3    0.004305
        1       3       4    0.005244
        1       3       5    0.005149
        1       3       6    0.003012
        1       3       7    0.002628
        1       3       8    0.002661
        1       3       9    0.003280
        1       3      10    0.003673
        1       4       0    0.002492
        1       4       1    0.004381
        1       4       2    0.004657
        1       4       3    0.004888
        1       4       4    0.004848
        1       4       5    0.004744
        1       4       6    0.002972
        1       4       7    0.002705
        1       4       8    0.002768
        1       4       9    0.003467
        1       4      10    0.003354
        1       5       0    0.002748
        1       5       1    0.005473
        1       5       2    0.004902
        1       5       3    0.004686
        1       5       4    0.005225
        1       5       5    0.005959
        1       5       6    0.003925
        1       5       7    0.003110
        1       5       8    0.003194
        1       5       9    0.004200
        1       5      10    0.004274
        1       6       0    0.002602
        1       6       1    0.005602
        1       6       2    0.004116
        1       6       3    0.004343
        1       6       4    0.004392
        1       6       5    0.005655
        1       6       6    0.002892
        1       6       7    0.003014
        1       6       8    0.003271
        1       6       9    0.003423
        1       6      10    0.002843
        1       7       0    0.002685
        1       7       1    0.004646
        1       7       2    0.005413
        1       7       3    0.004587
        1       7       4    0.004609
        1       7       5    0.005251
        1       7       6    0.002808
        1       7       7    0.003262
        1       7       8    0.003075
        1       7       9    0.003151
        1       7      10    0.002949
        1       8       0    0.002141
        1       8       1    0.004149
        1       8       2    0.004875
        1       8       3    0.004043
        1       8       4    0.004479
        1       8       5    0.004092
        1       8       6    0.002643
        1       8       7    0.002940
        1       8       8    0.002817
        1       8       9    0.003138
        1       8      10    0.002946
        1       9       0    0.002300
        1       9       1    0.004894
        1       9       2    0.004551
        1       9       3    0.004955
        1       9       4    0.004203
        1       9       5    0.004741
        1       9       6    0.003257
        1       9       7    0.003391
        1       9       8    0.003140
        1       9       9    0.003488
        1       9      10    0.003464
        1      10       0    0.002334
        1      10       1    0.005010
        1      10       2    0.004966
        1      10       3    0.004047
        1      10       4    0.004515
        1      10       5    0.005809
        1      10       6    0.003032
        1      10       7    0.002788
        1      10       8    0.002974
        1      10       9    0.003602
        1      10      10    0.003525
        1      11       0    0.001953
        1      11       1    0.004266
        1      11       2    0.004891
        1      11       3    0.004798
        1      11       4    0.004968
        1      11       5    0.001988
        1      11       6    0.003025
        1      11       7    0.002874
        1      11       8    0.002966
        1      11       9    0.002941
        1      11      10    0.003369
        1      12       0    0.002331
        1      12       1    0.004950
        1      12       2    0.004598
        1      12       3    0.003922
        1      12       4    0.004426
        1      12       5    0.004853
        1      12       6    0.003059
        1      12       7    0.002955
        1      12       8    0.002890
        1      12       9    0.002980
        1      12      10    0.003001
        1      13       0    0.002323
        1      13       1    0.004770
        1      13       2    0.004490
        1      13       3    0.004563
        1      13       4    0.005538
        1      13       5    0.004845
        1      13       6    0.002602
        1      13       7    0.002788
        1      13       8    0.003042
        1      13       9    0.003093
        1      13      10    0.003147
        1      14       0    0.002528
        1      14       1    0.004287
        1      14       2    0.004132
        1      14       3    0.004253
        1      14       4    0.004170
        1      14       5    0.005971
        1      14       6    0.003180
        1      14       7    0.003057
        1      14       8    0.003309
        1      14       9    0.003793
        1      14      10    0.003479
        1      15       0    0.002573
        1      15       1    0.005222
        1      15       2    0.004673
        1      15       3    0.004624
        1      15       4    0.004332
        1      15       5    0.005520
        1      15       6    0.003183
        1      15       7    0.002797
        1      15       8    0.002727
        1      15       9    0.003103
        1      15      10    0.003013
        1      16       0    0.002467
        1      16       1    0.004700
        1      16       2    0.004199
        1      16       3    0.005013
        1      16       4    0.004814
        1      16       5    0.005227
        1      16       6    0.002774
        1      16       7    0.002696
        1      16       8    0.002972
        1      16       9    0.003346
        1      16      10    0.003198
        1      17       0    0.002695
        1      17       1    0.005725
        1      17       2    0.004331
        1      17       3    0.004818
        1      17       4    0.006237
        1      17       5    0.005191
        1      17       6    0.002974
        1      17       7    0.003177
        1      17       8    0.003572
        1      17       9    0.003286
        1      17      10    0.003620
        1      18       0    0.002762
        1      18       1    0.005183
        1      18       2    0.004616
        1      18       3    0.004893
        1      18       4    0.005182
        1      18       5    0.005850
        1      18       6    0.003307
        1      18       7    0.003143
        1      18       8    0.003009
        1      18       9    0.003686
        1      18      10    0.003350
        1      19       0    0.002240
        1      19       1    0.004836
        1      19       2    0.004444
        1      19       3    0.004336
        1      19       4    0.004937
        1      19       5    0.005227
        1      19       6    0.002887
        1      19       7    0.002919
        1      19       8    0.003058
        1      19       9    0.004587
        1      19      10    0.003312
        1      20       0    0.002573
        1      20       1    0.005053
        1      20       2    0.004741
        1      20       3    0.004907
        1      20       4    0.004978
        1      20       5    0.005823
        1      20       6    0.003110
        1      20       7    0.003001
        1      20       8    0.002957
        1      20       9    0.003238
        1      20      10    0.003421
        1      21       0    0.003133
        1      21       1    0.005074
        1      21       2    0.002257
        1      21       3    0.005197
        1      21       4    0.004923
        1      21       5    0.004604
        1      21       6    0.002913
        1      21       7    0.002654
        1      21       8    0.002806
        1      21       9    0.003476
        1      21      10    0.003387
        1      22       0    0.002472
        1      22       1    0.007525
        1      22       2    0.006502
        1      22       3    0.007500
        1      22       4    0.008169
        1      22       5    0.009230
        1      22       6    0.002973
        1      22       7    0.002439
        1      22       8    0.003007
        1      22       9    0.003008
        1      22      10    0.003355
        1      23       0    0.007057
        1      23       1    0.008008
        1      23       2    0.007919
        1      23       3    0.007268
        1      23       4    0.008288
        1      23       5    0.007946
        1      23       6    0.007171
        1      23       7    0.006833
        1      23       8    0.007651
        1      23       9    0.008673
        1      23      10    0.007897
        1      24       0    0.002229
        1      24       1    0.005031
        1      24       2    0.004624
        1      24       3    0.004792
        1      24       4    0.004259
        1      24       5    0.004883
        1      24       6    0.002829
        1      24       7    0.002906
        1      24       8    0.002802
        1      24       9    0.003688
        1      24      10    0.003527
        1      25       0    0.002636
        1      25       1    0.005299
        1      25       2    0.004820
        1      25       3    0.004294
        1      25       4    0.004436
        1      25       5    0.005558
        1      25       6    0.003568
        1      25       7    0.003158
        1      25       8    0.003110
        1      25       9    0.003468
        1      25      10    0.003683
        1      26       0    0.002090
        1      26       1    0.004808
        1      26       2    0.004587
        1      26       3    0.004443
        1      26       4    0.004774
        1      26       5    0.004921
        1      26       6    0.003200
        1      26       7    0.002514
        1      26       8    0.002632
        1      26       9    0.003204
        1      26      10    0.003284
        1      27       0    0.002438
        1      27       1    0.004428
        1      27       2    0.004319
        1      27       3    0.004375
        1      27       4    0.005021
        1      27       5    0.004546
        1      27       6    0.002954
        1      27       7    0.002951
        1      27       8    0.002881
        1      27       9    0.003186
        1      27      10    0.003301
        1      28       0    0.002217
        1      28       1    0.004830
        1      28       2    0.004689
        1      28       3    0.004680
        1      28       4    0.005697
        1      28       5    0.005715
        1      28       6    0.002963
        1      28       7    0.002808
        1      28       8    0.002746
        1      28       9    0.003869
        1      28      10    0.003291
        1      29       0    0.002065
        1      29       1    0.004242
        1      29       2    0.004798
        1      29       3    0.004642
        1      29       4    0.004660
        1      29       5    0.005063
        1      29       6    0.002478
        1      29       7    0.002726
        1      29       8    0.003061
        1      29       9    0.002931
        1      29      10    0.002974
        1      30       0    0.002431
        1      30       1    0.004437
        1      30       2    0.004960
        1      30       3    0.005053
        1      30       4    0.004719
        1      30       5    0.004918
        1      30       6    0.002756
        1      30       7    0.002875
        1      30       8    0.003044
        1      30       9    0.003268
        1      30      10    0.003506
        1      31       0    0.002232
        1      31       1    0.004728
        1      31       2    0.004265
        1      31       3    0.004411
        1      31       4    0.004859
        1      31       5    0.004654
        1      31       6    0.002572
        1      31       7    0.002961
        1      31       8    0.002661
        1      31       9    0.003126
        1      31      10    0.003089
        2       0       0    0.002311
        2       0       1    0.004226
        2       0       2    0.004352
        2       0       3    0.005596
        2       0       4    0.004956
        2       0       5    0.004933
        2       0       6    0.003022
        2       0       7    0.002764
        2       0       8    0.003100
        2       0       9    0.003358
        2       0      10    0.003348
        2       1       0    0.002428
        2       1       1    0.004869
        2       1       2    0.004293
        2       1       3    0.004829
        2       1       4    0.004940
        2       1       5    0.004858
        2       1       6    0.003155
        2       1       7    0.003454
        2       1       8    0.003218
        2       1       9    0.003546
        2       1      10    0.003313
        2       2       0    0.003347
        2       2       1    0.004662
        2       2       2    0.004856
        2       2       3    0.004657
        2       2       4    0.004344
        2       2       5    0.005298
        2       2       6    0.002880
        2       2       7    0.002591
        2       2       8    0.002575
        2       2       9    0.003147
        2       2      10    0.003053
        2       3       0    0.001731
        2       3       1    0.005396
        2       3       2    0.004758
        2       3       3    0.005360
        2       3       4    0.004659
        2       3       5    0.005229
        2       3       6    0.003186
        2       3       7    0.002733
        2       3       8    0.002708
        2       3       9    0.003602
        2       3      10    0.003507
        2       4       0    0.002308
        2       4       1    0.005129
        2       4       2    0.005459
        2       4       3    0.004312
        2       4       4    0.004466
        2       4       5    0.004564
        2       4       6    0.002948
        2       4       7    0.003166
        2       4       8    0.003081
        2       4       9    0.003346
        2       4      10    0.003362
        2       5       0    0.002352
        2       5       1    0.005095
        2       5       2    0.004618
        2       5       3    0.004260
        2       5       4    0.004288
        2       5       5    0.005328
        2       5       6    0.003358
        2       5       7    0.003177
        2       5       8    0.003109
        2       5       9    0.003169
        2       5      10    0.003015
        2       6       0    0.002672
        2       6       1    0.005245
        2       6       2    0.005250
        2       6       3    0.005087
        2       6       4    0.005269
        2       6       5    0.005448
        2       6       6    0.003408
        2       6       7    0.003557
        2       6       8    0.003692
        2       6       9    0.003630
        2       6      10    0.003590
        2       7       0    0.002464
        2       7       1    0.005666
        2       7       2    0.005467
        2       7       3    0.004497
        2       7       4    0.004661
        2       7       5    0.005734
        2       7       6    0.003195
        2       7       7    0.003465
        2       7       8    0.003063
        2       7       9    0.004180
        2       7      10    0.003623
        2       8       0    0.002112
        2       8       1    0.004258
        2       8       2    0.004630
        2       8       3    0.003895
        2       8       4    0.004099
        2       8       5    0.004547
        2       8       6    0.002914
        2       8       7    0.003147
        2       8       8    0.003511
        2       8       9    0.002957
        2       8      10    0.002923
        2       9       0    0.002528
        2       9       1    0.004784
        2       9       2    0.005451
        2       9       3    0.004216
        2       9       4    0.004616
        2       9       5    0.004103
        2       9       6    0.002973
        2       9       7    0.002801
        2       9       8    0.002906
        2       9       9    0.003322
        2       9      10    0.003148
        2      10       0    0.002247
        2      10       1    0.005346
        2      10       2    0.004328
        2      10       3    0.004237
        2      10       4    0.004900
        2      10       5    0.004637
        2      10       6    0.002581
        2      10       7    0.002639
        2      10       8    0.002750
        2      10       9    0.003158
        2      10      10    0.003036
        2      11       0    0.002696
        2      11       1    0.004990
        2      11       2    0.005035
        2      11       3    0.004986
        2      11       4    0.004970
        2      11       5    0.004925
        2      11       6    0.002736
        2      11       7    0.002847
        2      11       8    0.002996
        2      11       9    0.002991
        2      11      10    0.003224
        2      12       0    0.002509
        2      12       1    0.005197
        2      12       2    0.004269
        2      12       3    0.005283
        2      12       4    0.004158
        2      12       5    0.005266
        2      12       6    0.002508
        2      12       7    0.003003
        2      12       8    0.002968
        2      12       9    0.003063
        2      12      10    0.003100
        2      13       0    0.002253
        2      13       1    0.004593
        2      13       2    0.004258
        2      13       3    0.004239
        2      13       4    0.004639
        2      13       5    0.004596
        2      13       6    0.002985
        2      13       7    0.002707
        2      13       8    0.002869
        2      13       9    0.002967
        2      13      10    0.002780
        2      14       0    0.003297
        2      14       1    0.005508
        2      14       2    0.005810
        2      14       3    0.006063
        2      14       4    0.006412
        2      14       5    0.005741
        2      14       6    0.003062
        2      14       7    0.002466
        2      14       8    0.002653
        2      14       9    0.002939
        2      14      10    0.003084
        2      15       0    0.002313
        2      15       1    0.004734
        2      15       2    0.004592
        2      15       3    0.004231
        2      15       4    0.004053
        2      15       5    0.004486
        2      15       6    0.002270
        2      15       7    0.002440
        2      15       8    0.002471
        2      15       9    0.003169
        2      15      10    0.002933
        2      16       0    0.002172
        2      16       1    0.004756
        2      16       2    0.004465
        2      16       3    0.004744
        2      16       4    0.005925
        2      16       5    0.004940
        2      16       6    0.002760
        2      16       7    0.002811
        2      16       8    0.002881
        2      16       9    0.003303
        2      16      10    0.003342
        2      17       0    0.002360
        2      17       1    0.005101
        2      17       2    0.005047
        2      17       3    0.004738
        2      17       4    0.004979
        2      17       5    0.005769
        2      17       6    0.002748
        2      17       7    0.003499
        2      17       8    0.003010
        2      17       9    0.003541
        2      17      10    0.003300
        2      18       0    0.002483
        2      18       1    0.004982
        2      18       2    0.004324
        2      18       3    0.005785
        2      18       4    0.005217
        2      18       5    0.005046
        2      18       6    0.002597
        2      18       7    0.003446
        2      18       8    0.003032
        2      18       9    0.003245
        2      18      10    0.003145
        2      19       0    0.002599
        2      19       1    0.004973
        2      19       2    0.005306
        2      19       3    0.004532
        2      19       4    0.005087
        2      19       5    0.004841
        2      19       6    0.003197
        2      19       7    0.003268
        2      19       8    0.002891
        2      19       9    0.003769
        2      19      10    0.003710
        2      20       0    0.002209
        2      20       1    0.006795
        2      20       2    0.005129
        2      20       3    0.004762
        2      20       4    0.004601
        2      20       5    0.005163
        2      20       6    0.002861
        2      20       7    0.002861
        2      20       8    0.002728
        2      20       9    0.003528
        2      20      10    0.003526
        2      21       0    0.003174
        2      21       1    0.005571
        2      21       2    0.004652
        2      21       3    0.004421
        2      21       4    0.005029
        2      21       5    0.005224
        2      21       6    0.002485
        2      21       7    0.003503
        2      21       8    0.003869
        2      21       9    0.002874
        2      21      10    0.003258
        2      22       0    0.002332
        2      22       1    0.004775
        2      22       2    0.004988
        2      22       3    0.004180
        2      22       4    0.003911
        2      22       5    0.005558
        2      22       6    0.002716
        2      22       7    0.002646
        2      22       8    0.002734
        2      22       9    0.002935
        2      22      10    0.003099
        2      23       0    0.002478
        2      23       1    0.004544
        2      23       2    0.004213
        2      23       3    0.005014
        2      23       4    0.004850
        2      23       5    0.005924
        2      23       6    0.003016
        2      23       7    0.003007
        2      23       8    0.003081
        2      23       9    0.003554
        2      23      10    0.003501
        2      24       0    0.002193
        2      24       1    0.004822
        2      24       2    0.004169
        2      24       3    0.003977
        2      24       4    0.004306
        2      24       5    0.004733
        2      24       6    0.002404
        2      24       7    0.002539
        2      24       8    0.002554
        2      24       9    0.003012
        2      24      10    0.003108
        2      25       0    0.002336
        2      25       1    0.004297
        2      25       2    0.004096
        2      25       3    0.004416
        2      25       4    0.004467
        2      25       5    0.005195
        2      25       6    0.002669
        2      25       7    0.003403
        2      25       8    0.002798
        2      25       9    0.003417
        2      25      10    0.003330
        2      26       0    0.002247
        2      26       1    0.004488
        2      26       2    0.004443
        2      26       3    0.004186
        2      26       4    0.004212
        2      26       5    0.005436
        2      26       6    0.002834
        2      26       7    0.002551
        2      26       8    0.002317
        2      26       9    0.003412
        2      26      10    0.002901
        2      27       0    0.002074
        2      27       1    0.004347
        2      27       2    0.004700
        2      27       3    0.004300
        2      27       4    0.004679
        2      27       5    0.003846
        2      27       6    0.002628
        2      27       7    0.002686
        2      27       8    0.002317
        2      27       9    0.002769
        2      27      10    0.002790
        2      28       0    0.002510
        2      28       1    0.004292
        2      28       2    0.005060
        2      28       3    0.004962
        2      28       4    0.004549
        2      28       5    0.004796
        2      28       6    0.002685
        2      28       7    0.003263
        2      28       8    0.002880
        2      28       9    0.003429
        2      28      10    0.003140
        2      29       0    0.002453
        2      29       1    0.004710
        2      29       2    0.004982
        2      29       3    0.004328
        2      29       4    0.004343
        2      29       5    0.004434
        2      29       6    0.002547
        2      29       7    0.003251
        2      29       8    0.002880
        2      29       9    0.002957
        2      29      10    0.002957
        2      30       0    0.002238
        2      30       1    0.004545
        2      30       2    0.003962
        2      30       3    0.003658
        2      30       4    0.004432
        2      30       5    0.005051
        2      30       6    0.002527
        2      30       7    0.002750
        2      30       8    0.002731
        2      30       9    0.003176
        2      30      10    0.003124
        2      31       0    0.002222
        2      31       1    0.004751
        2      31       2    0.004081
        2      31       3    0.004214
        2      31       4    0.004354
        2      31       5    0.004654
        2      31       6    0.003023
        2      31       7    0.002873
        2      31       8    0.002641
        2      31       9    0.003975
        2      31      10    0.003295
        3       0       0    0.002657
        3       0       1    0.006705
        3       0       2    0.004723
        3       0       3    0.004588
        3       0       4    0.005561
        3       0       5    0.005475
        3       0       6    0.003096
        3       0       7    0.002771
        3       0       8    0.002744
        3       0       9    0.004374
        3       0      10    0.004181
        3       1       0    0.003017
        3       1       1    0.005499
        3       1       2    0.005524
        3       1       3    0.004556
        3       1       4    0.005050
        3       1       5    0.005586
        3       1       6    0.003732
        3       1       7    0.003946
        3       1       8    0.003653
        3       1       9    0.004767
        3       1      10    0.004682
        3       2       0    0.002623
        3       2       1    0.004469
        3       2       2    0.004431
        3       2       3    0.004660
        3       2       4    0.004928
        3       2       5    0.005023
        3       2       6    0.003018
        3       2       7    0.002577
        3       2       8    0.002795
        3       2       9    0.003688
        3       2      10    0.003994
        3       3       0    0.003199
        3       3       1    0.005614
        3       3       2    0.005525
        3       3       3    0.005075
        3       3       4    0.004712
        3       3       5    0.004801
        3       3       6    0.003191
        3       3       7    0.003866
        3       3       8    0.003420
        3       3       9    0.004160
        3       3      10    0.003889
        3       4       0    0.003031
        3       4       1    0.005107
        3       4       2    0.004174
        3       4       3    0.004154
        3       4       4    0.004618
        3       4       5    0.004968
        3       4       6    0.002958
        3       4       7    0.003415
        3       4       8    0.003300
        3       4       9    0.003600
        3       4      10    0.004025
        3       5       0    0.002965
        3       5       1    0.004938
        3       5       2    0.005312
        3       5       3    0.004879
        3       5       4    0.005167
        3       5       5    0.004795
        3       5       6    0.003273
        3       5       7    0.003682
        3       5       8    0.003295
        3       5       9    0.003875
        3       5      10    0.004491
        3       6       0    0.003068
        3       6       1    0.006273
        3       6       2    0.004961
        3       6       3    0.005212
        3       6       4    0.005476
        3       6       5    0.005145
        3       6       6    0.003305
        3       6       7    0.003422
        3       6       8    0.003318
        3       6       9    0.004221
        3       6      10    0.004095
        3       7       0    0.002859
        3       7       1    0.005341
        3       7       2    0.005509
        3       7       3    0.004983
        3       7       4    0.006025
        3       7       5    0.005199
        3       7       6    0.003679
        3       7       7    0.003652
        3       7       8    0.003391
        3       7       9    0.003959
        3       7      10    0.004309
        3       8       0    0.002650
        3       8       1    0.005646
        3       8       2    0.004266
        3       8       3    0.003987
        3       8       4    0.005264
        3       8       5    0.004613
        3       8       6    0.003229
        3       8       7    0.003191
        3       8       8    0.003138
        3       8       9    0.003768
        3       8      10    0.003510
        3       9       0    0.002832
        3       9       1    0.004447
        3       9       2    0.005250
        3       9       3    0.005168
        3       9       4    0.004608
        3       9       5    0.004614
        3       9       6    0.002726
