 MOD DL       VSW     VHV    T0SW    T0HV 
  16  4  -0.23591 0.23225   386.1   383.2
  16  5  -0.23844 0.23471   382.2   375.7
  16  6  -0.22664 0.22327   399.4   396.8
  16  7  -0.23755 0.23385   383.3   376.2
  17  0  -0.23301 0.22945   391.3   385.9
  17  1  -0.23702 0.23334   381.8   379.1
  17  2  -0.22343 0.22015   406.3   402.4
  17  3  -0.22344 0.22016   407.3   402.6
  17  4  -0.23860 0.23487   382.4   376.7
  17  5  -0.23629 0.23263   384.2   380.0
  17  6  -0.24213 0.23828   376.6   372.0
  17  7  -0.23283 0.22927   394.6   381.1
  18  0  -0.23874 0.23500   382.4   375.6
  18  1  -0.23551 0.23187   387.3   380.3
  18  2  -0.23906 0.23531   382.0   376.1
  18  3  -0.24078 0.23698   378.7   373.3
  18  4  -0.24015 0.23636   379.5   373.3
  18  5  -0.24512 0.24118   371.8   366.6
  18  6  -0.23949 0.23572   381.2   374.4
  18  7  -0.23763 0.23392   382.7   377.4
  19  0  -0.23789 0.23418   383.2   376.3
  19  1  -0.23580 0.23215   385.3   381.3
  19  2  -0.24023 0.23644   378.9   374.4
  19  3  -0.23874 0.23500   381.3   375.1
  19  4  -0.23979 0.23602   381.2   373.9
  19  5  -0.24169 0.23785   376.4   371.6
  19  6  -0.24111 0.23729   378.3   372.7
  19  7  -0.24017 0.23639   378.1   373.8
  20  0  -0.23355 0.22997   390.0   383.5
  20  1  -0.23803 0.23431   382.4   376.6
  20  2  -0.21693 0.21384   417.3   414.8
  20  3  -0.23247 0.22893   392.3   383.0
  20  4  -0.23651 0.23284   384.6   379.4
  20  5  -0.23131 0.22780   394.9   387.0
  20  6  -0.23966 0.23589   379.6   374.7
  20  7  -0.23334 0.22976   392.6   383.2
  21  0  -0.24153 0.23770   376.8   371.8
  21  1  -0.23777 0.23406   382.1   378.2
  21  2  -0.23486 0.23124   388.4   382.0
  21  3  -0.23647 0.23280   383.9   378.5
  21  4  -0.23830 0.23457   383.8   375.2
  21  5  -0.23593 0.23228   385.9   379.9
  21  6  -0.23334 0.22977   391.9   385.4
  21  7  -0.23633 0.23267   385.8   378.6
  22  0  -0.23732 0.23363   384.5   378.0
  22  1  -0.23413 0.23053   388.1   382.2
  22  2  -0.24064 0.23684   378.3   372.4
  22  3  -0.23201 0.22847   393.7   387.2
  22  4  -0.23921 0.23545   381.1   374.9
  22  5  -0.22442 0.22111   403.9   400.7
  22  6  -0.23462 0.23101   388.5   384.0
  22  7  -0.23867 0.23493   381.6   375.8
  23  0  -0.23451 0.23090   388.1   382.0
  23  1  -0.23812 0.23440   382.4   376.5
  23  2  -0.23866 0.23492   381.7   377.1
  23  3  -0.23821 0.23449   385.7   372.3
  23  4  -0.23018 0.22670   393.0   392.8
  23  5  -0.23673 0.23305   383.3   380.3
  23  6  -0.23985 0.23608   379.1   374.5
  23  7  -0.24249 0.23863   374.8   368.0
  24  0  -0.24124 0.23742   377.5   372.2
  24  1  -0.23721 0.23352   378.8   382.0
  24  2  -0.23366 0.22986   374.8   376.4
  24  3  -0.22866 0.22523   397.6   391.7
  24  4  -0.23416 0.23056   388.5   383.2
  24  5  -0.24309 0.23922   374.1   369.8
  24  6  -0.23895 0.23520   381.8   375.5
  24  7  -0.23173 0.22821   391.2   384.6
  25  0  -0.23817 0.23445   382.4   374.1
  25  1  -0.24039 0.23659   378.1   374.3
  25  2  -0.23433 0.23072   386.7   383.3
  25  3  -0.24037 0.23658   380.0   372.0
  25  4  -0.23400 0.23040   389.0   382.3
  25  5  -0.23193 0.22840   391.1   385.2
  25  6  -0.23609 0.23243   385.6   380.3
  25  7  -0.23276 0.22920   389.1   385.9
  26  0  -0.23827 0.23455   382.8   375.4
  26  1  -0.23505 0.23142   385.9   384.7
  26  2  -0.23569 0.23204   385.2   381.6
  26  3  -0.23658 0.23290   384.2   377.6
  26  4  -0.23962 0.23585   379.7   374.9
  26  5  -0.24356 0.23966   374.0   368.8
  26  6  -0.24098 0.23717   378.5   372.6
  26  7  -0.23944 0.23567   380.5   373.4
  27  0  -0.23660 0.23293   384.6   378.6
  27  1  -0.24319 0.23931   375.2   369.0
  27  2  -0.22989 0.22642   398.8   387.9
  27  3  -0.23865 0.23491   381.5   375.1
  27  4  -0.24141 0.23759   378.3   371.8
  27  5  -0.23756 0.23386   383.3   376.8
  27  6  -0.24061 0.23681   377.7   373.0
  27  7  -0.24037 0.23658   378.5   372.6
  28  0  -0.23868 0.23494   381.6   375.9
  28  1  -0.23566 0.23201   387.1   379.5
  28  2  -0.24314 0.23926   374.4   368.8
