  -0.77677E-02   0.62135E-01  -0.26205E-01  -0.14274E-02   0.85871E-03   0.17385E-03  -0.28667E-04
   0.23032E-02   0.37803E-01  -0.12966E-01  -0.14423E-02   0.21233E-03   0.72017E-04  -0.14994E-05
  -0.78214E-02   0.10260E+00  -0.10236E+00   0.33043E-01  -0.93591E-03  -0.13213E-02   0.16618E-03
  -0.41275E-01   0.17248E+00  -0.14403E+00   0.39668E-01  -0.17364E-03  -0.14493E-02   0.15349E-03
   0.12616E-02   0.42589E-01  -0.14584E-01  -0.10427E-02   0.28436E-03   0.60581E-04  -0.49526E-05
   0.61631E-02   0.36798E-01  -0.13090E-01  -0.12581E-02   0.75017E-03  -0.99593E-04   0.72412E-05
  -0.20070E-03   0.74687E-01  -0.61750E-01   0.16042E-01  -0.28913E-03  -0.47138E-03   0.50099E-04
  -0.18195E-01   0.10926E+00  -0.77224E-01   0.17777E-01  -0.10839E-03  -0.45931E-03   0.42055E-04
   0.61982E-03   0.46771E-01  -0.59767E-01   0.30876E-01  -0.72869E-02   0.53108E-03   0.22226E-04
  -0.31196E-01   0.13479E+00  -0.11421E+00   0.32582E-01  -0.15819E-03  -0.13519E-02   0.15695E-03
  -0.10586E-01   0.59755E-01  -0.19991E-01  -0.20655E-02   0.40685E-03   0.11339E-03  -0.91802E-05
  -0.17787E-02   0.40089E-01  -0.16868E-01   0.19101E-02   0.29337E-04  -0.16707E-03   0.27114E-04
  -0.72949E-02   0.79270E-01  -0.71704E-01   0.20375E-01  -0.52240E-03  -0.59174E-03   0.66289E-04
  -0.32826E-01   0.13730E+00  -0.10937E+00   0.27890E-01   0.33321E-04  -0.86988E-03   0.82337E-04
   0.52822E-02   0.28014E-01  -0.64258E-02  -0.10361E-02  -0.12073E-04   0.19163E-04   0.31893E-05
   0.65127E-02   0.25664E-01  -0.70073E-02  -0.66654E-03   0.46893E-04   0.15571E-04   0.10691E-06
