    LAYER  SECTOR    WIRE      GAIN
        0      24       0    0.003882
        0      24       1    0.004911
        0      24       2    0.005783
        0      24       3    0.004522
        0      24       4    0.005573
        0      24       5    0.005950
        0      24       6    0.004695
        0      24       7    0.004676
        0      24       8    0.004431
        0      24       9    0.004901
        0      24      10    0.004385
        0      25       0    0.003866
        0      25       1    0.005247
        0      25       2    0.005705
        0      25       3    0.005072
        0      25       4    0.005102
        0      25       5    0.005588
        0      25       6    0.005914
        0      25       7    0.004307
        0      25       8    0.004348
        0      25       9    0.004520
        0      25      10    0.004452
        0      26       0    0.004700
        0      26       1    0.004522
        0      26       2    0.004905
        0      26       3    0.005895
        0      26       4    0.004877
        0      26       5    0.005840
        0      26       6    0.005734
        0      26       7    0.005322
        0      26       8    0.004499
        0      26       9    0.005187
        0      26      10    0.004726
        0      27       0    0.003601
        0      27       1    0.005089
        0      27       2    0.004547
        0      27       3    0.004797
        0      27       4    0.005431
        0      27       5    0.005159
        0      27       6    0.005709
        0      27       7    0.004516
        0      27       8    0.004262
        0      27       9    0.004430
        0      27      10    0.004745
        0      28       0    0.004115
        0      28       1    0.005396
        0      28       2    0.004579
        0      28       3    0.005044
        0      28       4    0.004769
        0      28       5    0.004933
        0      28       6    0.005511
        0      28       7    0.005165
        0      28       8    0.003938
        0      28       9    0.005596
        0      28      10    0.004931
        0      29       0    0.004617
        0      29       1    0.005238
        0      29       2    0.005459
        0      29       3    0.005104
        0      29       4    0.005221
        0      29       5    0.004755
        0      29       6    0.005670
        0      29       7    0.004736
        0      29       8    0.005139
        0      29       9    0.004862
        0      29      10    0.005106
        0      30       0    0.004098
        0      30       1    0.006219
        0      30       2    0.005464
        0      30       3    0.005382
        0      30       4    0.005098
        0      30       5    0.006582
        0      30       6    0.005290
        0      30       7    0.005837
        0      30       8    0.004958
        0      30       9    0.004786
        0      30      10    0.004835
        0      31       0    0.005067
        0      31       1    0.005622
        0      31       2    0.005507
        0      31       3    0.004425
        0      31       4    0.005151
        0      31       5    0.005979
        0      31       6    0.005303
        0      31       7    0.005349
        0      31       8    0.005024
        0      31       9    0.004666
        0      31      10    0.005316
        1       0       0    0.004513
        1       0       1    0.005146
        1       0       2    0.005312
        1       0       3    0.006072
        1       0       4    0.005029
        1       0       5    0.005027
        1       0       6    0.005003
        1       0       7    0.004357
        1       0       8    0.004280
        1       0       9    0.004315
        1       0      10    0.004507
        1       1       0    0.004372
        1       1       1    0.005607
        1       1       2    0.005007
        1       1       3    0.005708
        1       1       4    0.006447
        1       1       5    0.005884
        1       1       6    0.005355
        1       1       7    0.003895
        1       1       8    0.003702
        1       1       9    0.004326
        1       1      10    0.004037
        1       2       0    0.004621
        1       2       1    0.005670
        1       2       2    0.004806
        1       2       3    0.005095
        1       2       4    0.004351
        1       2       5    0.005018
        1       2       6    0.005519
        1       2       7    0.005012
        1       2       8    0.004510
        1       2       9    0.006003
        1       2      10    0.005365
        1       3       0    0.004025
        1       3       1    0.005072
        1       3       2    0.004086
        1       3       3    0.004950
        1       3       4    0.005290
        1       3       5    0.004905
        1       3       6    0.005251
        1       3       7    0.004393
        1       3       8    0.004197
        1       3       9    0.004512
        1       3      10    0.004262
        1       4       0    0.004600
        1       4       1    0.004821
        1       4       2    0.004760
        1       4       3    0.005270
        1       4       4    0.004797
        1       4       5    0.005669
        1       4       6    0.005276
        1       4       7    0.004294
        1       4       8    0.004238
        1       4       9    0.004942
        1       4      10    0.005068
        1       5       0    0.004379
        1       5       1    0.004889
        1       5       2    0.005445
        1       5       3    0.005761
        1       5       4    0.005600
        1       5       5    0.005190
        1       5       6    0.005570
        1       5       7    0.004263
        1       5       8    0.004476
        1       5       9    0.005423
        1       5      10    0.004971
        1       6       0    0.004937
        1       6       1    0.005816
        1       6       2    0.003923
        1       6       3    0.003796
        1       6       4    0.005065
        1       6       5    0.005940
        1       6       6    0.005694
        1       6       7    0.004244
        1       6       8    0.004359
        1       6       9    0.004645
        1       6      10    0.004693
        1       7       0    0.004238
        1       7       1    0.005165
        1       7       2    0.004253
        1       7       3    0.004915
        1       7       4    0.004099
        1       7       5    0.005536
        1       7       6    0.005261
        1       7       7    0.004593
        1       7       8    0.004879
        1       7       9    0.005415
        1       7      10    0.004524
        1       8       0    0.004482
        1       8       1    0.005065
        1       8       2    0.005074
        1       8       3    0.004468
        1       8       4    0.004743
        1       8       5    0.004539
        1       8       6    0.004937
        1       8       7    0.004907
        1       8       8    0.004594
        1       8       9    0.004251
        1       8      10    0.004581
        1       9       0    0.004139
        1       9       1    0.004718
        1       9       2    0.004599
        1       9       3    0.005169
        1       9       4    0.004780
        1       9       5    0.005030
        1       9       6    0.005733
        1       9       7    0.004364
        1       9       8    0.004510
        1       9       9    0.004527
        1       9      10    0.004200
        1      10       0    0.004507
        1      10       1    0.005114
        1      10       2    0.004375
