    LAYER  SECTOR    WIRE      GAIN
        0      24       0    1.000000
        0      24       1    1.000000
        0      24       2    1.000000
        0      24       3    1.000000
        0      24       4    1.000000
        0      24       5    1.000000
        0      24       6    1.000000
        0      24       7    1.000000
        0      24       8    1.000000
        0      24       9    1.000000
        0      24      10    1.000000
        0      25       0    0.001055
        0      25       1    0.001686
        0      25       2    0.001695
        0      25       3    0.001991
        0      25       4    0.002006
        0      25       5    0.001732
        0      25       6    0.001420
        0      25       7    0.001803
        0      25       8    0.001685
        0      25       9    0.001716
        0      25      10    0.001621
        0      26       0    0.001023
        0      26       1    0.001798
        0      26       2    0.001991
        0      26       3    0.001943
        0      26       4    0.001656
        0      26       5    0.001957
        0      26       6    0.001599
        0      26       7    0.001528
        0      26       8    0.001675
        0      26       9    0.001599
        0      26      10    0.001588
        0      27       0    0.001187
        0      27       1    0.002079
        0      27       2    0.001828
        0      27       3    0.001834
        0      27       4    0.001925
        0      27       5    0.001984
        0      27       6    0.001767
        0      27       7    0.001530
        0      27       8    0.001619
        0      27       9    0.001704
        0      27      10    0.001753
        0      28       0    0.001394
        0      28       1    0.002106
        0      28       2    0.001740
        0      28       3    0.002313
        0      28       4    0.001970
        0      28       5    0.002097
        0      28       6    0.001578
        0      28       7    0.001744
        0      28       8    0.001800
        0      28       9    0.001874
        0      28      10    0.001858
        0      29       0    0.001189
        0      29       1    0.001959
        0      29       2    0.001989
        0      29       3    0.001844
        0      29       4    0.002223
        0      29       5    0.002240
        0      29       6    0.001564
        0      29       7    0.001619
        0      29       8    0.001623
        0      29       9    0.001270
        0      29      10    0.001380
        0      30       0    0.001184
        0      30       1    0.001860
        0      30       2    0.002412
        0      30       3    0.002326
        0      30       4    0.002034
        0      30       5    0.001934
        0      30       6    0.001721
        0      30       7    0.001723
        0      30       8    0.001792
        0      30       9    0.001866
        0      30      10    0.001708
        0      31       0    0.001299
        0      31       1    0.002046
        0      31       2    0.001948
        0      31       3    0.001612
        0      31       4    0.001560
        0      31       5    0.001705
        0      31       6    0.001571
        0      31       7    0.001813
        0      31       8    0.001861
        0      31       9    0.001718
        0      31      10    0.001764
        1       0       0    0.001353
        1       0       1    0.002313
        1       0       2    0.002306
        1       0       3    0.001981
        1       0       4    0.002147
        1       0       5    0.001880
        1       0       6    0.002244
        1       0       7    0.001507
        1       0       8    0.001535
        1       0       9    0.001623
        1       0      10    0.001913
        1       1       0    0.001850
        1       1       1    0.002451
        1       1       2    0.002608
        1       1       3    0.002130
        1       1       4    0.002436
        1       1       5    0.002049
        1       1       6    0.001951
        1       1       7    0.001889
        1       1       8    0.002065
        1       1       9    0.001606
        1       1      10    0.001830
        1       2       0    0.001220
        1       2       1    0.001950
        1       2       2    0.001627
        1       2       3    0.001666
        1       2       4    0.002002
        1       2       5    0.002207
        1       2       6    0.001755
        1       2       7    0.001397
        1       2       8    0.001417
        1       2       9    0.002139
        1       2      10    0.001995
        1       3       0    0.001524
        1       3       1    0.002252
        1       3       2    0.002192
        1       3       3    0.002132
        1       3       4    0.002349
        1       3       5    0.002275
        1       3       6    0.002081
        1       3       7    0.001549
        1       3       8    0.001566
        1       3       9    0.001974
        1       3      10    0.001930
        1       4       0    0.001457
        1       4       1    0.002209
        1       4       2    0.001641
        1       4       3    0.002219
        1       4       4    0.002074
        1       4       5    0.002440
        1       4       6    0.001920
        1       4       7    0.001575
        1       4       8    0.001524
        1       4       9    0.001836
        1       4      10    0.001741
        1       5       0    0.001793
        1       5       1    0.002128
        1       5       2    0.001784
        1       5       3    0.001861
        1       5       4    0.001847
        1       5       5    0.002235
        1       5       6    0.002073
        1       5       7    0.001670
        1       5       8    0.001730
        1       5       9    0.001701
        1       5      10    0.001859
        1       6       0    0.001564
        1       6       1    0.002580
        1       6       2    0.001766
        1       6       3    0.001757
        1       6       4    0.001840
        1       6       5    0.002183
        1       6       6    0.002038
        1       6       7    0.001855
        1       6       8    0.001625
        1       6       9    0.002184
        1       6      10    0.001641
        1       7       0    0.001460
        1       7       1    0.002145
        1       7       2    0.001850
        1       7       3    0.002002
        1       7       4    0.002238
        1       7       5    0.002520
        1       7       6    0.002338
        1       7       7    0.001661
        1       7       8    0.001752
        1       7       9    0.001874
        1       7      10    0.001829
        1       8       0    0.001403
        1       8       1    0.001883
        1       8       2    0.001871
        1       8       3    0.001985
        1       8       4    0.001688
        1       8       5    0.002265
        1       8       6    0.001674
        1       8       7    0.001655
        1       8       8    0.001664
        1       8       9    0.001635
        1       8      10    0.001735
        1       9       0    0.001392
        1       9       1    0.002207
        1       9       2    0.001902
        1       9       3    0.001758
        1       9       4    0.001679
        1       9       5    0.002024
        1       9       6    0.001754
        1       9       7    0.001541
        1       9       8    0.001665
        1       9       9    0.001853
        1       9      10    0.001790
        1      10       0    0.001636
        1      10       1    0.002078
        1      10       2    0.001735
        1      10       3    0.001916
        1      10       4    0.002194
        1      10       5    0.002317
        1      10       6    0.001685
        1      10       7    0.001777
        1      10       8    0.001593
        1      10       9    0.001771
        1      10      10    0.001624
        1      11       0    0.001143
        1      11       1    0.002268
        1      11       2    0.001791
        1      11       3    0.001732
        1      11       4    0.002080
        1      11       5    0.001988
        1      11       6    0.001597
        1      11       7    0.001341
        1      11       8    0.001655
        1      11       9    0.001719
        1      11      10    0.001682
        1      12       0    0.001301
        1      12       1    0.002068
        1      12       2    0.001975
        1      12       3    0.002175
        1      12       4    0.002640
        1      12       5    0.002185
        1      12       6    0.001763
        1      12       7    0.001552
        1      12       8    0.001776
        1      12       9    0.001642
        1      12      10    0.001772
        1      13       0    0.001299
        1      13       1    0.002084
        1      13       2    0.002074
        1      13       3    0.001857
        1      13       4    0.002015
        1      13       5    0.001937
        1      13       6    0.001838
        1      13       7    0.001665
        1      13       8    0.001625
        1      13       9    0.001894
        1      13      10    0.001865
        1      14       0    0.001790
        1      14       1    0.002242
        1      14       2    0.001820
        1      14       3    0.001777
        1      14       4    0.002171
        1      14       5    0.002172
        1      14       6    0.001749
        1      14       7    0.001553
        1      14       8    0.001817
        1      14       9    0.001956
        1      14      10    0.001946
        1      15       0    0.001860
        1      15       1    0.001831
        1      15       2    0.001845
        1      15       3    0.001778
        1      15       4    0.001901
