     I    SEQADC   ADCA CRD BLS  TW  LY     IFTB  CON  PIN  ING   MOD  POINT  SECT   ETA   PHI LAYER

        1    164    860   0   3   1   7        1    7   41    1  'IM'      1    24   -13    31    10
        2    188    988   0   3   3   7        1    8   41    1  'IM'      2    24   -13    32    10
        3    189    992   0   3   3   8        1    8   43    1  'IM'     11    23   -13    33    10
        4    213   1120   0   4   1   8        1    9   43    1  'IM'     12    23   -13    34    10
        5   3721  19840   9   5   2   0        7   24    1    1  'EM'   1636     6   -12    29     1
        6   3722  19844   9   5   2   1        7   24    3    1  'EM'   1660     6   -12    29     2
        7   3723  19848   9   5   2   2        7   24    5    1  'EM'   1684     6   -12    29     5
        8   3724  19852   9   5   2   3        7   24    7    1  'EM'   1708     6   -12    29     6
        9   3733  19904   9   5   3   0        7   24   27    1  'EM'   1613     6   -12    30     1
       10   3734  19908   9   5   3   1        7   24   29    1  'EM'   1637     6   -12    30     2
       11   3735  19912   9   5   3   2        7   24   31    1  'EM'   1685     6   -12    30     5
       12   3736  19916   9   5   3   3        7   24   33    1  'EM'   1661     6   -12    30     6
       13   4009  21376  10   3   2   0        7   12    1    1  'EM'   1408     7   -12    31     1
       14   4010  21380  10   3   2   1        7   12    3    1  'EM'   1432     7   -12    31     2
       15   4011  21384  10   3   2   2        7   12    5    1  'EM'   1456     7   -12    31     5
       16   4012  21388  10   3   2   3        7   12    7    1  'EM'   1480     7   -12    31     6
       17    236   1244   0   4   3   7        1   10   41    1  'IM'      4    24   -12    31    10
       18   4021  21440  10   3   3   0        7   12   27    1  'EM'   1385     7   -12    32     1
       19   4022  21444  10   3   3   1        7   12   29    1  'EM'   1409     7   -12    32     2
       20   4023  21448  10   3   3   2        7   12   31    1  'EM'   1457     7   -12    32     5
       21   4024  21452  10   3   3   3        7   12   33    1  'EM'   1433     7   -12    32     6
       22    212   1116   0   4   1   7        1    9   41    1  'IM'      3    24   -12    32    10
       23   4297  22912  11   1   2   0        8   24    1    1  'EM'   2092     8   -12    33     1
       24   4298  22916  11   1   2   1        8   24    3    1  'EM'   2116     8   -12    33     2
       25   4299  22920  11   1   2   2        8   24    5    1  'EM'   2140     8   -12    33     5
       26   4300  22924  11   1   2   3        8   24    7    1  'EM'   2164     8   -12    33     6
       27    152    796   0   3   0   7        1    7   15    1  'IM'     10    23   -12    33    10
       28   4309  22976  11   1   3   0        8   24   27    1  'EM'   2069     8   -12    34     1
       29   4310  22980  11   1   3   1        8   24   29    1  'EM'   2093     8   -12    34     2
       30   4311  22984  11   1   3   2        8   24   31    1  'EM'   2141     8   -12    34     5
       31   4312  22988  11   1   3   3        8   24   33    1  'EM'   2117     8   -12    34     6
       32    176    924   0   3   2   7        1    8   15    1  'IM'      9    23   -12    34    10
       33   4585  24448  11   7   2   0        8   12    1    1  'EM'   1864     9   -12    35     1
       34   4586  24452  11   7   2   1        8   12    3    1  'EM'   1888     9   -12    35     2
       35   4587  24456  11   7   2   2        8   12    5    1  'EM'   1912     9   -12    35     5
       36   4588  24460  11   7   2   3        8   12    7    1  'EM'   1936     9   -12    35     6
       37   4597  24512  11   7   3   0        8   12   27    1  'EM'   1841     9   -12    36     1
       38   4598  24516  11   7   3   1        8   12   29    1  'EM'   1865     9   -12    36     2
       39   4599  24520  11   7   3   2        8   12   31    1  'EM'   1913     9   -12    36     5
       40   4600  24524  11   7   3   3        8   12   33    1  'EM'   1889     9   -12    36     6
       41   3697  19712   9   5   0   0        7   23    1    1  'EM'   1635     6   -11    29     1
       42   3698  19716   9   5   0   1        7   23    3    1  'EM'   1659     6   -11    29     2
       43   3701  19728   9   5   0   4        7   23    9    1  'EM'   1730     6   -11    29     3
       44   3702  19732   9   5   0   5        7   23   11    1  'EM'   1752     6   -11    29     4
       45   3699  19720   9   5   0   2        7   23    5    1  'EM'   1683     6   -11    29     5
       46   3700  19724   9   5   0   3        7   23    7    1  'EM'   1707     6   -11    29     6
       47   3703  19736   9   5   0   6        7   23   13    1  'EM'   1774     6   -11    29     7
       48   3709  19776   9   5   1   0        7   23   27    1  'EM'   1614     6   -11    30     1
       49   3710  19780   9   5   1   1        7   23   29    1  'EM'   1638     6   -11    30     2
       50   3713  19792   9   5   1   4        7   23   35    1  'EM'   1731     6   -11    30     3
       51   3714  19796   9   5   1   5        7   23   37    1  'EM'   1709     6   -11    30     4
       52   3711  19784   9   5   1   2        7   23   31    1  'EM'   1686     6   -11    30     5
       53   3712  19788   9   5   1   3        7   23   33    1  'EM'   1662     6   -11    30     6
       54   3715  19800   9   5   1   6        7   23   39    1  'EM'   1753     6   -11    30     7
       55   3985  21248  10   3   0   0        7   11    1    1  'EM'   1407     7   -11    31     1
       56   3986  21252  10   3   0   1        7   11    3    1  'EM'   1431     7   -11    31     2
       57   3989  21264  10   3   0   4        7   11    9    1  'EM'   1502     7   -11    31     3
       58   3990  21268  10   3   0   5        7   11   11    1  'EM'   1524     7   -11    31     4
       59   3987  21256  10   3   0   2        7   11    5    1  'EM'   1455     7   -11    31     5
       60   3988  21260  10   3   0   3        7   11    7    1  'EM'   1479     7   -11    31     6
       61   3991  21272  10   3   0   6        7   11   13    1  'EM'   1546     7   -11    31     7
       62    248   1308   0   5   0   7        1   11   15    1  'IM'      6    24   -11    31    10
       63   3997  21312  10   3   1   0        7   11   27    1  'EM'   1386     7   -11    32     1
       64   3998  21316  10   3   1   1        7   11   29    1  'EM'   1410     7   -11    32     2
     I    SEQADC   ADCA CRD BLS  TW  LY     IFTB  CON  PIN  ING   MOD  POINT  SECT   ETA   PHI LAYER

       65   4001  21328  10   3   1   4        7   11   35    1  'EM'   1503     7   -11    32     3
       66   4002  21332  10   3   1   5        7   11   37    1  'EM'   1481     7   -11    32     4
       67   3999  21320  10   3   1   2        7   11   31    1  'EM'   1458     7   -11    32     5
       68   4000  21324  10   3   1   3        7   11   33    1  'EM'   1434     7   -11    32     6
       69   4003  21336  10   3   1   6        7   11   39    1  'EM'   1525     7   -11    32     7
       70    260   1372   0   5   1   7        1   11   41    1  'IM'      5    24   -11    32    10
       71   4273  22784  11   1   0   0        8   23    1    1  'EM'   2091     8   -11    33     1
       72   4274  22788  11   1   0   1        8   23    3    1  'EM'   2115     8   -11    33     2
       73   4277  22800  11   1   0   4        8   23    9    1  'EM'   2186     8   -11    33     3
       74   4278  22804  11   1   0   5        8   23   11    1  'EM'   2208     8   -11    33     4
       75   4275  22792  11   1   0   2        8   23    5    1  'EM'   2139     8   -11    33     5
       76   4276  22796  11   1   0   3        8   23    7    1  'EM'   2163     8   -11    33     6
       77   4279  22808  11   1   0   6        8   23   13    1  'EM'   2230     8   -11    33     7
       78    200   1052   0   4   0   7        1    9   15    1  'IM'      8    23   -11    33    10
       79   4285  22848  11   1   1   0        8   23   27    1  'EM'   2070     8   -11    34     1
       80   4286  22852  11   1   1   1        8   23   29    1  'EM'   2094     8   -11    34     2
       81   4289  22864  11   1   1   4        8   23   35    1  'EM'   2187     8   -11    34     3
       82   4290  22868  11   1   1   5        8   23   37    1  'EM'   2165     8   -11    34     4
       83   4287  22856  11   1   1   2        8   23   31    1  'EM'   2142     8   -11    34     5
       84   4288  22860  11   1   1   3        8   23   33    1  'EM'   2118     8   -11    34     6
       85   4291  22872  11   1   1   6        8   23   39    1  'EM'   2209     8   -11    34     7
       86    224   1180   0   4   2   7        1   10   15    1  'IM'      7    23   -11    34    10
       87   4561  24320  11   7   0   0        8   11    1    1  'EM'   1863     9   -11    35     1
       88   4562  24324  11   7   0   1        8   11    3    1  'EM'   1887     9   -11    35     2
       89   4565  24336  11   7   0   4        8   11    9    1  'EM'   1958     9   -11    35     3
       90   4566  24340  11   7   0   5        8   11   11    1  'EM'   1980     9   -11    35     4
       91   4563  24328  11   7   0   2        8   11    5    1  'EM'   1911     9   -11    35     5
       92   4564  24332  11   7   0   3        8   11    7    1  'EM'   1935     9   -11    35     6
       93   4567  24344  11   7   0   6        8   11   13    1  'EM'   2002     9   -11    35     7
       94   4573  24384  11   7   1   0        8   11   27    1  'EM'   1842     9   -11    36     1
       95   4574  24388  11   7   1   1        8   11   29    1  'EM'   1866     9   -11    36     2
       96   4577  24400  11   7   1   4        8   11   35    1  'EM'   1959     9   -11    36     3
       97   4578  24404  11   7   1   5        8   11   37    1  'EM'   1937     9   -11    36     4
       98   4575  24392  11   7   1   2        8   11   31    1  'EM'   1914     9   -11    36     5
       99   4576  24396  11   7   1   3        8   11   33    1  'EM'   1890     9   -11    36     6
      100   4579  24408  11   7   1   6        8   11   39    1  'EM'   1981     9   -11    36     7
      101   3673  19584   9   4   2   0        7   22    1    1  'EM'   1634     6   -10    29     1
      102   3674  19588   9   4   2   1        7   22    3    1  'EM'   1658     6   -10    29     2
      103   3677  19600   9   4   2   4        7   22    9    1  'EM'   1729     6   -10    29     3
      104   3678  19604   9   4   2   5        7   22   11    1  'EM'   1751     6   -10    29     4
      105   3675  19592   9   4   2   2        7   22    5    1  'EM'   1682     6   -10    29     5
      106   3676  19596   9   4   2   3        7   22    7    1  'EM'   1706     6   -10    29     6
      107   3679  19608   9   4   2   6        7   22   13    1  'EM'   1773     6   -10    29     7
      108   3685  19648   9   4   3   0        7   22   27    1  'EM'   1615     6   -10    30     1
      109   3686  19652   9   4   3   1        7   22   29    1  'EM'   1639     6   -10    30     2
      110   3689  19664   9   4   3   4        7   22   35    1  'EM'   1732     6   -10    30     3
      111   3690  19668   9   4   3   5        7   22   37    1  'EM'   1710     6   -10    30     4
      112   3687  19656   9   4   3   2        7   22   31    1  'EM'   1687     6   -10    30     5
      113   3688  19660   9   4   3   3        7   22   33    1  'EM'   1663     6   -10    30     6
      114   3691  19672   9   4   3   6        7   22   39    1  'EM'   1754     6   -10    30     7
      115   3692  19676   9   4   3   7        7   22   41    1  'FH'   1784     6   -10    30    11
      116   3961  21120  10   2   2   0        7   10    1    1  'EM'   1406     7   -10    31     1
      117   3962  21124  10   2   2   1        7   10    3    1  'EM'   1430     7   -10    31     2
      118   3965  21136  10   2   2   4        7   10    9    1  'EM'   1501     7   -10    31     3
      119   3966  21140  10   2   2   5        7   10   11    1  'EM'   1523     7   -10    31     4
      120   3963  21128  10   2   2   2        7   10    5    1  'EM'   1454     7   -10    31     5
      121   3964  21132  10   2   2   3        7   10    7    1  'EM'   1478     7   -10    31     6
      122   3967  21144  10   2   2   6        7   10   13    1  'EM'   1545     7   -10    31     7
      123    177    928   0   3   2   8        1    8   17    1  'IM'     18    24   -10    31    10
      124   3968  21148  10   2   2   7        7   10   15    1  'FH'   1566     7   -10    31    11
      125   3973  21184  10   2   3   0        7   10   27    1  'EM'   1387     7   -10    32     1
      126   3974  21188  10   2   3   1        7   10   29    1  'EM'   1411     7   -10    32     2
      127   3977  21200  10   2   3   4        7   10   35    1  'EM'   1504     7   -10    32     3
      128   3978  21204  10   2   3   5        7   10   37    1  'EM'   1482     7   -10    32     4
     I    SEQADC   ADCA CRD BLS  TW  LY     IFTB  CON  PIN  ING   MOD  POINT  SECT   ETA   PHI LAYER

      129   3975  21192  10   2   3   2        7   10   31    1  'EM'   1459     7   -10    32     5
      130   3976  21196  10   2   3   3        7   10   33    1  'EM'   1435     7   -10    32     6
      131   3979  21208  10   2   3   6        7   10   39    1  'EM'   1526     7   -10    32     7
      132    201   1056   0   4   0   8        1    9   17    1  'IM'     17    24   -10    32    10
      133   3980  21212  10   2   3   7        7   10   41    1  'FH'   1547     7   -10    32    11
      134   4249  22656  11   0   2   0        8   22    1    1  'EM'   2090     8   -10    33     1
      135   4250  22660  11   0   2   1        8   22    3    1  'EM'   2114     8   -10    33     2
      136   4253  22672  11   0   2   4        8   22    9    1  'EM'   2185     8   -10    33     3
      137   4254  22676  11   0   2   5        8   22   11    1  'EM'   2207     8   -10    33     4
      138   4251  22664  11   0   2   2        8   22    5    1  'EM'   2138     8   -10    33     5
      139   4252  22668  11   0   2   3        8   22    7    1  'EM'   2162     8   -10    33     6
      140   4255  22680  11   0   2   6        8   22   13    1  'EM'   2229     8   -10    33     7
      141    238   1252   0   4   3   9        1   10   45    1  'IM'     20    23   -10    33    10
      142   4256  22684  11   0   2   7        8   22   15    1  'FH'   2241     8   -10    33    11
      143   4261  22720  11   0   3   0        8   22   27    1  'EM'   2071     8   -10    34     1
      144   4262  22724  11   0   3   1        8   22   29    1  'EM'   2095     8   -10    34     2
      145   4265  22736  11   0   3   4        8   22   35    1  'EM'   2188     8   -10    34     3
      146   4266  22740  11   0   3   5        8   22   37    1  'EM'   2166     8   -10    34     4
      147   4263  22728  11   0   3   2        8   22   31    1  'EM'   2143     8   -10    34     5
      148   4264  22732  11   0   3   3        8   22   33    1  'EM'   2119     8   -10    34     6
      149   4267  22744  11   0   3   6        8   22   39    1  'EM'   2210     8   -10    34     7
      150    214   1124   0   4   1   9        1    9   45    1  'IM'     19    23   -10    34    10
      151   4268  22748  11   0   3   7        8   22   41    1  'FH'   2240     8   -10    34    11
      152   4537  24192  11   6   2   0        8   10    1    1  'EM'   1862     9   -10    35     1
      153   4538  24196  11   6   2   1        8   10    3    1  'EM'   1886     9   -10    35     2
      154   4541  24208  11   6   2   4        8   10    9    1  'EM'   1957     9   -10    35     3
      155   4542  24212  11   6   2   5        8   10   11    1  'EM'   1979     9   -10    35     4
      156   4539  24200  11   6   2   2        8   10    5    1  'EM'   1910     9   -10    35     5
      157   4540  24204  11   6   2   3        8   10    7    1  'EM'   1934     9   -10    35     6
      158   4543  24216  11   6   2   6        8   10   13    1  'EM'   2001     9   -10    35     7
      159   4544  24220  11   6   2   7        8   10   15    1  'FH'   2022     9   -10    35    11
      160   4549  24256  11   6   3   0        8   10   27    1  'EM'   1843     9   -10    36     1
      161   4550  24260  11   6   3   1        8   10   29    1  'EM'   1867     9   -10    36     2
      162   4553  24272  11   6   3   4        8   10   35    1  'EM'   1960     9   -10    36     3
      163   4554  24276  11   6   3   5        8   10   37    1  'EM'   1938     9   -10    36     4
      164   4551  24264  11   6   3   2        8   10   31    1  'EM'   1915     9   -10    36     5
      165   4552  24268  11   6   3   3        8   10   33    1  'EM'   1891     9   -10    36     6
      166   4555  24280  11   6   3   6        8   10   39    1  'EM'   1982     9   -10    36     7
      167   4556  24284  11   6   3   7        8   10   41    1  'FH'   2003     9   -10    36    11
      168   3680  19612   9   4   2   7        7   22   15    1  'FH'   1785    10   -10    37    11
      169   3649  19456   9   4   0   0        7   21    1    1  'EM'   1633     6    -9    29     1
      170   3650  19460   9   4   0   1        7   21    3    1  'EM'   1657     6    -9    29     2
      171   3653  19472   9   4   0   4        7   21    9    1  'EM'   1728     6    -9    29     3
      172   3654  19476   9   4   0   5        7   21   11    1  'EM'   1750     6    -9    29     4
      173   3651  19464   9   4   0   2        7   21    5    1  'EM'   1681     6    -9    29     5
      174   3652  19468   9   4   0   3        7   21    7    1  'EM'   1705     6    -9    29     6
      175   3655  19480   9   4   0   6        7   21   13    1  'EM'   1772     6    -9    29     7
      176   3661  19520   9   4   1   0        7   21   27    1  'EM'   1616     6    -9    30     1
      177   3662  19524   9   4   1   1        7   21   29    1  'EM'   1640     6    -9    30     2
      178   3665  19536   9   4   1   4        7   21   35    1  'EM'   1733     6    -9    30     3
      179   3666  19540   9   4   1   5        7   21   37    1  'EM'   1711     6    -9    30     4
      180   3663  19528   9   4   1   2        7   21   31    1  'EM'   1688     6    -9    30     5
      181   3664  19532   9   4   1   3        7   21   33    1  'EM'   1664     6    -9    30     6
      182   3667  19544   9   4   1   6        7   21   39    1  'EM'   1755     6    -9    30     7
      183   3668  19548   9   4   1   7        7   21   41    1  'FH'   1783     6    -9    30    11
      184   3669  19552   9   4   1   8        7   21   43    1  'FH'   1803     6    -9    30    12
      185   3937  20992  10   2   0   0        7    9    1    1  'EM'   1405     7    -9    31     1
      186   3938  20996  10   2   0   1        7    9    3    1  'EM'   1429     7    -9    31     2
      187   3941  21008  10   2   0   4        7    9    9    1  'EM'   1500     7    -9    31     3
      188   3942  21012  10   2   0   5        7    9   11    1  'EM'   1522     7    -9    31     4
      189   3939  21000  10   2   0   2        7    9    5    1  'EM'   1453     7    -9    31     5
      190   3940  21004  10   2   0   3        7    9    7    1  'EM'   1477     7    -9    31     6
      191   3943  21016  10   2   0   6        7    9   13    1  'EM'   1544     7    -9    31     7
      192    249   1312   0   5   0   8        1   11   17    1  'IM'     15    24    -9    31    10
     I    SEQADC   ADCA CRD BLS  TW  LY     IFTB  CON  PIN  ING   MOD  POINT  SECT   ETA   PHI LAYER

      193   3944  21020  10   2   0   7        7    9   15    1  'FH'   1565     7    -9    31    11
      194   3945  21024  10   2   0   8        7    9   17    1  'FH'   1584     7    -9    31    12
      195   3949  21056  10   2   1   0        7    9   27    1  'EM'   1388     7    -9    32     1
      196   3950  21060  10   2   1   1        7    9   29    1  'EM'   1412     7    -9    32     2
      197   3953  21072  10   2   1   4        7    9   35    1  'EM'   1505     7    -9    32     3
      198   3954  21076  10   2   1   5        7    9   37    1  'EM'   1483     7    -9    32     4
      199   3951  21064  10   2   1   2        7    9   31    1  'EM'   1460     7    -9    32     5
      200   3952  21068  10   2   1   3        7    9   33    1  'EM'   1436     7    -9    32     6
      201   3955  21080  10   2   1   6        7    9   39    1  'EM'   1527     7    -9    32     7
      202    225   1184   0   4   2   8        1   10   17    1  'IM'     16    24    -9    32    10
      203   3956  21084  10   2   1   7        7    9   41    1  'FH'   1548     7    -9    32    11
      204   3957  21088  10   2   1   8        7    9   43    1  'FH'   1567     7    -9    32    12
      205   4225  22528  11   0   0   0        8   21    1    1  'EM'   2089     8    -9    33     1
      206   4226  22532  11   0   0   1        8   21    3    1  'EM'   2113     8    -9    33     2
      207   4229  22544  11   0   0   4        8   21    9    1  'EM'   2184     8    -9    33     3
      208   4230  22548  11   0   0   5        8   21   11    1  'EM'   2206     8    -9    33     4
      209   4227  22536  11   0   0   2        8   21    5    1  'EM'   2137     8    -9    33     5
      210   4228  22540  11   0   0   3        8   21    7    1  'EM'   2161     8    -9    33     6
      211   4231  22552  11   0   0   6        8   21   13    1  'EM'   2228     8    -9    33     7
      212    262   1380   0   5   1   9        1   11   45    1  'IM'     21    23    -9    33    10
      213   4232  22556  11   0   0   7        8   21   15    1  'FH'   2242     8    -9    33    11
      214   4233  22560  11   0   0   8        8   21   17    1  'FH'   2260     8    -9    33    12
      215   4237  22592  11   0   1   0        8   21   27    1  'EM'   2072     8    -9    34     1
      216   4238  22596  11   0   1   1        8   21   29    1  'EM'   2096     8    -9    34     2
      217   4241  22608  11   0   1   4        8   21   35    1  'EM'   2189     8    -9    34     3
      218   4242  22612  11   0   1   5        8   21   37    1  'EM'   2167     8    -9    34     4
      219   4239  22600  11   0   1   2        8   21   31    1  'EM'   2144     8    -9    34     5
      220   4240  22604  11   0   1   3        8   21   33    1  'EM'   2120     8    -9    34     6
      221   4243  22616  11   0   1   6        8   21   39    1  'EM'   2211     8    -9    34     7
      222    250   1316   0   5   0   9        1   11   19    1  'IM'     22    23    -9    34    10
      223   4244  22620  11   0   1   7        8   21   41    1  'FH'   2239     8    -9    34    11
      224   4245  22624  11   0   1   8        8   21   43    1  'FH'   2259     8    -9    34    12
      225   4513  24064  11   6   0   0        8    9    1    1  'EM'   1861     9    -9    35     1
      226   4514  24068  11   6   0   1        8    9    3    1  'EM'   1885     9    -9    35     2
      227   4517  24080  11   6   0   4        8    9    9    1  'EM'   1956     9    -9    35     3
      228   4518  24084  11   6   0   5        8    9   11    1  'EM'   1978     9    -9    35     4
      229   4515  24072  11   6   0   2        8    9    5    1  'EM'   1909     9    -9    35     5
      230   4516  24076  11   6   0   3        8    9    7    1  'EM'   1933     9    -9    35     6
      231   4519  24088  11   6   0   6        8    9   13    1  'EM'   2000     9    -9    35     7
      232   4520  24092  11   6   0   7        8    9   15    1  'FH'   2021     9    -9    35    11
      233   4521  24096  11   6   0   8        8    9   17    1  'FH'   2040     9    -9    35    12
      234   4525  24128  11   6   1   0        8    9   27    1  'EM'   1844     9    -9    36     1
      235   4526  24132  11   6   1   1        8    9   29    1  'EM'   1868     9    -9    36     2
      236   4529  24144  11   6   1   4        8    9   35    1  'EM'   1961     9    -9    36     3
      237   4530  24148  11   6   1   5        8    9   37    1  'EM'   1939     9    -9    36     4
      238   4527  24136  11   6   1   2        8    9   31    1  'EM'   1916     9    -9    36     5
      239   4528  24140  11   6   1   3        8    9   33    1  'EM'   1892     9    -9    36     6
      240   4531  24152  11   6   1   6        8    9   39    1  'EM'   1983     9    -9    36     7
      241   4532  24156  11   6   1   7        8    9   41    1  'FH'   2004     9    -9    36    11
      242   4533  24160  11   6   1   8        8    9   43    1  'FH'   2023     9    -9    36    12
      243   3656  19484   9   4   0   7        7   21   15    1  'FH'   1786    10    -9    37    11
      244   3657  19488   9   4   0   8        7   21   17    1  'FH'   1804    10    -9    37    12
      245   3625  19328   9   3   2   0        7   20    1    1  'EM'   1632     6    -8    29     1
      246   3626  19332   9   3   2   1        7   20    3    1  'EM'   1656     6    -8    29     2
      247   3629  19344   9   3   2   4        7   20    9    1  'EM'   1727     6    -8    29     3
      248   3630  19348   9   3   2   5        7   20   11    1  'EM'   1749     6    -8    29     4
      249   3627  19336   9   3   2   2        7   20    5    1  'EM'   1680     6    -8    29     5
      250   3628  19340   9   3   2   3        7   20    7    1  'EM'   1704     6    -8    29     6
      251   3631  19352   9   3   2   6        7   20   13    1  'EM'   1771     6    -8    29     7
      252   3637  19392   9   3   3   0        7   20   27    1  'EM'   1617     6    -8    30     1
      253   3638  19396   9   3   3   1        7   20   29    1  'EM'   1641     6    -8    30     2
      254   3641  19408   9   3   3   4        7   20   35    1  'EM'   1734     6    -8    30     3
      255   3642  19412   9   3   3   5        7   20   37    1  'EM'   1712     6    -8    30     4
      256   3639  19400   9   3   3   2        7   20   31    1  'EM'   1689     6    -8    30     5
     I    SEQADC   ADCA CRD BLS  TW  LY     IFTB  CON  PIN  ING   MOD  POINT  SECT   ETA   PHI LAYER

      257   3640  19404   9   3   3   3        7   20   33    1  'EM'   1665     6    -8    30     6
      258   3643  19416   9   3   3   6        7   20   39    1  'EM'   1756     6    -8    30     7
      259   3644  19420   9   3   3   7        7   20   41    1  'FH'   1782     6    -8    30    11
      260   3645  19424   9   3   3   8        7   20   43    1  'FH'   1802     6    -8    30    12
      261   3646  19428   9   3   3   9        7   20   45    1  'FH'   1820     6    -8    30    13
      262   3913  20864  10   1   2   0        7    8    1    1  'EM'   1404     7    -8    31     1
      263   3914  20868  10   1   2   1        7    8    3    1  'EM'   1428     7    -8    31     2
      264   3917  20880  10   1   2   4        7    8    9    1  'EM'   1499     7    -8    31     3
      265   3918  20884  10   1   2   5        7    8   11    1  'EM'   1521     7    -8    31     4
      266   3915  20872  10   1   2   2        7    8    5    1  'EM'   1452     7    -8    31     5
      267   3916  20876  10   1   2   3        7    8    7    1  'EM'   1476     7    -8    31     6
      268   3919  20888  10   1   2   6        7    8   13    1  'EM'   1543     7    -8    31     7
      269    261   1376   0   5   1   8        1   11   43    1  'IM'     14    24    -8    31    10
      270   3920  20892  10   1   2   7        7    8   15    1  'FH'   1564     7    -8    31    11
      271   3921  20896  10   1   2   8        7    8   17    1  'FH'   1583     7    -8    31    12
      272   3922  20900  10   1   2   9        7    8   19    1  'FH'   1600     7    -8    31    13
      273   3925  20928  10   1   3   0        7    8   27    1  'EM'   1389     7    -8    32     1
      274   3926  20932  10   1   3   1        7    8   29    1  'EM'   1413     7    -8    32     2
      275   3929  20944  10   1   3   4        7    8   35    1  'EM'   1506     7    -8    32     3
      276   3930  20948  10   1   3   5        7    8   37    1  'EM'   1484     7    -8    32     4
      277   3927  20936  10   1   3   2        7    8   31    1  'EM'   1461     7    -8    32     5
      278   3928  20940  10   1   3   3        7    8   33    1  'EM'   1437     7    -8    32     6
      279   3931  20952  10   1   3   6        7    8   39    1  'EM'   1528     7    -8    32     7
      280    237   1248   0   4   3   8        1   10   43    1  'IM'     13    24    -8    32    10
      281   3932  20956  10   1   3   7        7    8   41    1  'FH'   1549     7    -8    32    11
      282   3933  20960  10   1   3   8        7    8   43    1  'FH'   1568     7    -8    32    12
      283   3934  20964  10   1   3   9        7    8   45    1  'FH'   1585     7    -8    32    13
      284   4201  22400  10   7   2   0        8   20    1    1  'EM'   2088     8    -8    33     1
      285   4202  22404  10   7   2   1        8   20    3    1  'EM'   2112     8    -8    33     2
      286   4205  22416  10   7   2   4        8   20    9    1  'EM'   2183     8    -8    33     3
      287   4206  22420  10   7   2   5        8   20   11    1  'EM'   2205     8    -8    33     4
      288   4203  22408  10   7   2   2        8   20    5    1  'EM'   2136     8    -8    33     5
      289   4204  22412  10   7   2   3        8   20    7    1  'EM'   2160     8    -8    33     6
      290   4207  22424  10   7   2   6        8   20   13    1  'EM'   2227     8    -8    33     7
      291    202   1060   0   4   0   9        1    9   19    1  'IM'     24    23    -8    33    10
      292   4208  22428  10   7   2   7        8   20   15    1  'FH'   2243     8    -8    33    11
      293   4209  22432  10   7   2   8        8   20   17    1  'FH'   2261     8    -8    33    12
      294   4210  22436  10   7   2   9        8   20   19    1  'FH'   2277     8    -8    33    13
      295   4213  22464  10   7   3   0        8   20   27    1  'EM'   2073     8    -8    34     1
      296   4214  22468  10   7   3   1        8   20   29    1  'EM'   2097     8    -8    34     2
      297   4217  22480  10   7   3   4        8   20   35    1  'EM'   2190     8    -8    34     3
      298   4218  22484  10   7   3   5        8   20   37    1  'EM'   2168     8    -8    34     4
      299   4215  22472  10   7   3   2        8   20   31    1  'EM'   2145     8    -8    34     5
      300   4216  22476  10   7   3   3        8   20   33    1  'EM'   2121     8    -8    34     6
      301   4219  22488  10   7   3   6        8   20   39    1  'EM'   2212     8    -8    34     7
      302    226   1188   0   4   2   9        1   10   19    1  'IM'     23    23    -8    34    10
      303   4220  22492  10   7   3   7        8   20   41    1  'FH'   2238     8    -8    34    11
      304   4221  22496  10   7   3   8        8   20   43    1  'FH'   2258     8    -8    34    12
      305   4222  22500  10   7   3   9        8   20   45    1  'FH'   2276     8    -8    34    13
      306   4489  23936  11   5   2   0        8    8    1    1  'EM'   1860     9    -8    35     1
      307   4490  23940  11   5   2   1        8    8    3    1  'EM'   1884     9    -8    35     2
      308   4493  23952  11   5   2   4        8    8    9    1  'EM'   1955     9    -8    35     3
      309   4494  23956  11   5   2   5        8    8   11    1  'EM'   1977     9    -8    35     4
      310   4491  23944  11   5   2   2        8    8    5    1  'EM'   1908     9    -8    35     5
      311   4492  23948  11   5   2   3        8    8    7    1  'EM'   1932     9    -8    35     6
      312   4495  23960  11   5   2   6        8    8   13    1  'EM'   1999     9    -8    35     7
      313   4496  23964  11   5   2   7        8    8   15    1  'FH'   2020     9    -8    35    11
      314   4497  23968  11   5   2   8        8    8   17    1  'FH'   2039     9    -8    35    12
      315   4498  23972  11   5   2   9        8    8   19    1  'FH'   2056     9    -8    35    13
      316   4501  24000  11   5   3   0        8    8   27    1  'EM'   1845     9    -8    36     1
      317   4502  24004  11   5   3   1        8    8   29    1  'EM'   1869     9    -8    36     2
      318   4505  24016  11   5   3   4        8    8   35    1  'EM'   1962     9    -8    36     3
      319   4506  24020  11   5   3   5        8    8   37    1  'EM'   1940     9    -8    36     4
      320   4503  24008  11   5   3   2        8    8   31    1  'EM'   1917     9    -8    36     5
     I    SEQADC   ADCA CRD BLS  TW  LY     IFTB  CON  PIN  ING   MOD  POINT  SECT   ETA   PHI LAYER

      321   4504  24012  11   5   3   3        8    8   33    1  'EM'   1893     9    -8    36     6
      322   4507  24024  11   5   3   6        8    8   39    1  'EM'   1984     9    -8    36     7
      323   4508  24028  11   5   3   7        8    8   41    1  'FH'   2005     9    -8    36    11
      324   4509  24032  11   5   3   8        8    8   43    1  'FH'   2024     9    -8    36    12
      325   4510  24036  11   5   3   9        8    8   45    1  'FH'   2041     9    -8    36    13
